;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.988;0.549;0.549;0.69;0.988;0.69;0.976;0.702;0.645;0.637;0.623;0.667;0.696;0.696;0.633;0.606;0.633;0.824;0.489;0.809;0.588;0.542;0.542;0.546;0.458;0.817;0.748;0.748;0.817;0.817
transcript26_ENSMSIG00000000513;0.988;1.0;0.561;0.561;0.702;1.0;0.702;0.988;0.718;0.661;0.65;0.636;0.685;0.713;0.713;0.65;0.623;0.65;0.835;0.482;0.824;0.602;0.556;0.556;0.56;0.473;0.828;0.758;0.758;0.828;0.828
transcript41_ENSMSIG00000000513;0.549;0.561;1.0;1.0;0.816;0.561;0.816;0.569;0.695;0.746;0.521;0.701;0.661;0.693;0.693;0.742;0.589;0.742;0.47;0.578;0.488;0.649;0.686;0.686;0.691;0.577;0.469;0.397;0.397;0.469;0.469
transcript43_ENSMSIG00000000513;0.549;0.561;1.0;1.0;0.816;0.561;0.816;0.569;0.695;0.746;0.521;0.701;0.661;0.693;0.693;0.742;0.589;0.742;0.47;0.578;0.488;0.649;0.686;0.686;0.691;0.577;0.469;0.397;0.397;0.469;0.469
transcript46_ENSMSIG00000000513;0.69;0.702;0.816;0.816;1.0;0.702;1.0;0.69;0.761;0.7;0.505;0.767;0.731;0.762;0.762;0.693;0.658;0.693;0.578;0.641;0.605;0.794;0.744;0.744;0.75;0.636;0.573;0.504;0.504;0.573;0.573
transcript47_ENSMSIG00000000513;0.988;1.0;0.561;0.561;0.702;1.0;0.702;0.988;0.718;0.661;0.65;0.636;0.685;0.713;0.713;0.65;0.623;0.65;0.835;0.482;0.824;0.602;0.556;0.556;0.56;0.473;0.828;0.758;0.758;0.828;0.828
transcript48_ENSMSIG00000000513;0.69;0.702;0.816;0.816;1.0;0.702;1.0;0.69;0.761;0.7;0.505;0.767;0.731;0.762;0.762;0.693;0.658;0.693;0.578;0.641;0.605;0.794;0.744;0.744;0.75;0.636;0.573;0.504;0.504;0.573;0.573
transcript49_ENSMSIG00000000513;0.976;0.988;0.569;0.569;0.69;0.988;0.69;1.0;0.702;0.675;0.66;0.623;0.667;0.696;0.696;0.666;0.606;0.666;0.824;0.467;0.809;0.588;0.542;0.542;0.546;0.458;0.817;0.748;0.748;0.817;0.817
transcript22_MGP-SPRETEiJ-G0021131;0.702;0.718;0.695;0.695;0.761;0.718;0.761;0.702;1.0;0.915;0.854;0.966;0.959;0.98;0.98;0.93;0.897;0.93;0.914;0.836;0.898;0.97;0.97;0.97;0.933;0.884;0.917;0.847;0.847;0.917;0.917
transcript41_MGP-SPRETEiJ-G0021131;0.645;0.661;0.746;0.746;0.7;0.661;0.7;0.675;0.915;1.0;0.835;0.947;0.903;0.925;0.925;0.975;0.841;0.975;0.868;0.814;0.817;0.881;0.881;0.881;0.914;0.794;0.841;0.77;0.77;0.841;0.841
transcript7_ENSMUSG00000054036;0.637;0.65;0.521;0.521;0.505;0.65;0.505;0.66;0.854;0.835;1.0;0.786;0.855;0.839;0.839;0.85;0.907;0.85;0.893;0.672;0.86;0.789;0.789;0.789;0.762;0.857;0.898;0.972;0.972;0.898;0.898
transcript36_ENSMUSG00000054036;0.623;0.636;0.701;0.701;0.767;0.636;0.767;0.623;0.966;0.947;0.786;1.0;0.962;0.984;0.984;0.933;0.899;0.933;0.888;0.873;0.858;0.943;0.943;0.943;0.972;0.857;0.867;0.795;0.795;0.867;0.867
transcript8_MGP-CAROLIEiJ-G0020234;0.667;0.685;0.661;0.661;0.731;0.685;0.731;0.667;0.959;0.903;0.855;0.962;1.0;0.978;0.978;0.927;0.934;0.927;0.881;0.841;0.857;0.932;0.932;0.932;0.922;0.889;0.876;0.839;0.839;0.876;0.876
transcript22_MGP-CAROLIEiJ-G0020234;0.696;0.713;0.693;0.693;0.762;0.713;0.762;0.696;0.98;0.925;0.839;0.984;0.978;1.0;1.0;0.95;0.915;0.95;0.901;0.865;0.877;0.956;0.956;0.956;0.946;0.869;0.895;0.825;0.825;0.895;0.895
transcript32_MGP-CAROLIEiJ-G0020234;0.696;0.713;0.693;0.693;0.762;0.713;0.762;0.696;0.98;0.925;0.839;0.984;0.978;1.0;1.0;0.95;0.915;0.95;0.901;0.865;0.877;0.956;0.956;0.956;0.946;0.869;0.895;0.825;0.825;0.895;0.895
transcript33_MGP-CAROLIEiJ-G0020234;0.633;0.65;0.742;0.742;0.693;0.65;0.693;0.666;0.93;0.975;0.85;0.933;0.927;0.95;0.95;1.0;0.865;1.0;0.855;0.809;0.83;0.902;0.902;0.902;0.891;0.815;0.852;0.782;0.782;0.852;0.852
transcript42_MGP-CAROLIEiJ-G0020234;0.606;0.623;0.589;0.589;0.658;0.623;0.658;0.606;0.897;0.841;0.907;0.899;0.934;0.915;0.915;0.865;1.0;0.865;0.827;0.776;0.803;0.869;0.869;0.869;0.857;0.949;0.825;0.881;0.881;0.825;0.825
transcript43_MGP-CAROLIEiJ-G0020234;0.633;0.65;0.742;0.742;0.693;0.65;0.693;0.666;0.93;0.975;0.85;0.933;0.927;0.95;0.95;1.0;0.865;1.0;0.855;0.809;0.83;0.902;0.902;0.902;0.891;0.815;0.852;0.782;0.782;0.852;0.852
transcript26_MGP-PahariEiJ-G0020237;0.824;0.835;0.47;0.47;0.578;0.835;0.578;0.824;0.914;0.868;0.893;0.888;0.881;0.901;0.901;0.855;0.827;0.855;1.0;0.712;0.974;0.82;0.799;0.799;0.799;0.725;1.0;0.937;0.937;1.0;1.0
transcript9_ENSRNOG00000031503;0.489;0.482;0.578;0.578;0.641;0.482;0.641;0.467;0.836;0.814;0.672;0.873;0.841;0.865;0.865;0.809;0.776;0.809;0.712;1.0;0.721;0.861;0.867;0.867;0.901;0.778;0.699;0.629;0.629;0.699;0.699
transcript18_ENSRNOG00000031503;0.809;0.824;0.488;0.488;0.605;0.824;0.605;0.809;0.898;0.817;0.86;0.858;0.857;0.877;0.877;0.83;0.803;0.83;0.974;0.721;1.0;0.848;0.831;0.831;0.8;0.757;0.974;0.91;0.91;0.974;0.974
transcript19_ENSRNOG00000031503;0.588;0.602;0.649;0.649;0.794;0.602;0.794;0.588;0.97;0.881;0.789;0.943;0.932;0.956;0.956;0.902;0.869;0.902;0.82;0.861;0.848;1.0;0.993;0.993;0.956;0.903;0.826;0.762;0.762;0.826;0.826
transcript21_ENSRNOG00000031503;0.542;0.556;0.686;0.686;0.744;0.556;0.744;0.542;0.97;0.881;0.789;0.943;0.932;0.956;0.956;0.902;0.869;0.902;0.799;0.867;0.831;0.993;1.0;1.0;0.963;0.91;0.807;0.737;0.737;0.807;0.807
transcript23_ENSRNOG00000031503;0.542;0.556;0.686;0.686;0.744;0.556;0.744;0.542;0.97;0.881;0.789;0.943;0.932;0.956;0.956;0.902;0.869;0.902;0.799;0.867;0.831;0.993;1.0;1.0;0.963;0.91;0.807;0.737;0.737;0.807;0.807
transcript32_ENSRNOG00000031503;0.546;0.56;0.691;0.691;0.75;0.56;0.75;0.546;0.933;0.914;0.762;0.972;0.922;0.946;0.946;0.891;0.857;0.891;0.799;0.901;0.8;0.956;0.963;0.963;1.0;0.873;0.777;0.707;0.707;0.777;0.777
transcript33_ENSRNOG00000031503;0.458;0.473;0.577;0.577;0.636;0.473;0.636;0.458;0.884;0.794;0.857;0.857;0.889;0.869;0.869;0.815;0.949;0.815;0.725;0.778;0.757;0.903;0.91;0.91;0.873;1.0;0.737;0.79;0.79;0.737;0.737
transcript18_ENSMUGG00000013592;0.817;0.828;0.469;0.469;0.573;0.828;0.573;0.817;0.917;0.841;0.898;0.867;0.876;0.895;0.895;0.852;0.825;0.852;1.0;0.699;0.974;0.826;0.807;0.807;0.777;0.737;1.0;0.94;0.94;1.0;1.0
transcript32_ENSMUGG00000013592;0.748;0.758;0.397;0.397;0.504;0.758;0.504;0.748;0.847;0.77;0.972;0.795;0.839;0.825;0.825;0.782;0.881;0.782;0.937;0.629;0.91;0.762;0.737;0.737;0.707;0.79;0.94;1.0;1.0;0.94;0.94
transcript33_ENSMUGG00000013592;0.748;0.758;0.397;0.397;0.504;0.758;0.504;0.748;0.847;0.77;0.972;0.795;0.839;0.825;0.825;0.782;0.881;0.782;0.937;0.629;0.91;0.762;0.737;0.737;0.707;0.79;0.94;1.0;1.0;0.94;0.94
transcript34_ENSMUGG00000013592;0.817;0.828;0.469;0.469;0.573;0.828;0.573;0.817;0.917;0.841;0.898;0.867;0.876;0.895;0.895;0.852;0.825;0.852;1.0;0.699;0.974;0.826;0.807;0.807;0.777;0.737;1.0;0.94;0.94;1.0;1.0
transcript35_ENSMUGG00000013592;0.817;0.828;0.469;0.469;0.573;0.828;0.573;0.817;0.917;0.841;0.898;0.867;0.876;0.895;0.895;0.852;0.825;0.852;1.0;0.699;0.974;0.826;0.807;0.807;0.777;0.737;1.0;0.94;0.94;1.0;1.0
