;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000260648_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000378511_90_90;0.916;0.916;1.0;0.829;0.916;0.73;0.916;0.73;0.916;0.14;0.916;0.916;0.295;0.135;0.73;0.73;0.873
ENST00000378520_90_90;0.913;0.913;0.829;1.0;0.913;0.727;0.913;0.727;0.913;0.141;0.913;0.913;0.296;0.135;0.727;0.727;0.869
ENST00000409272_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000409411_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENST00000409936_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000409957_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENST00000410081_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000420756_90_90;0.129;0.129;0.14;0.141;0.129;0.159;0.129;0.159;0.129;1.0;0.129;0.129;0.0;0.304;0.159;0.159;0.136
ENST00000425263_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000426481_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.814;0.957
ENST00000438314_90_90;0.271;0.271;0.295;0.296;0.271;0.084;0.271;0.084;0.271;0.0;0.271;0.271;1.0;0.0;0.084;0.084;0.227
ENST00000444696_90_90;0.124;0.124;0.135;0.135;0.124;0.153;0.124;0.153;0.124;0.304;0.124;0.124;0.0;1.0;0.153;0.153;0.131
ENST00000541738_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENSMUST00000072406_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENSMUST00000171795_90_90;0.957;0.957;0.873;0.869;0.957;0.849;0.957;0.849;0.957;0.136;0.957;0.957;0.227;0.131;0.849;0.849;1.0
