;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.93;0.858;0.859;0.784;0.709;0.929;0.918;0.92;0.94;0.941;0.876;0.703;0.942;0.867
ENST00000248933_90_90;0.93;1.0;0.926;0.927;0.777;0.703;0.999;0.987;0.989;0.875;0.876;0.813;0.697;0.877;0.804
ENST00000343706_90_90;0.858;0.926;1.0;0.873;0.703;0.759;0.925;0.934;0.936;0.803;0.804;0.856;0.623;0.805;0.866
ENST00000360929_90_90;0.859;0.927;0.873;1.0;0.704;0.648;0.926;0.935;0.937;0.804;0.805;0.743;0.732;0.806;0.751
ENST00000402979_90_90;0.784;0.777;0.703;0.704;1.0;0.905;0.778;0.766;0.767;0.811;0.812;0.744;0.897;0.811;0.733
ENST00000403121_90_90;0.709;0.703;0.759;0.648;0.905;1.0;0.704;0.71;0.711;0.732;0.733;0.785;0.801;0.733;0.796
ENST00000404234_90_90;0.929;0.999;0.925;0.926;0.778;0.704;1.0;0.988;0.988;0.876;0.877;0.814;0.698;0.876;0.805
ENST00000529632_90_90;0.918;0.987;0.934;0.935;0.766;0.71;0.988;1.0;0.998;0.866;0.865;0.805;0.686;0.864;0.812
ENST00000629590_90_90;0.92;0.989;0.936;0.937;0.767;0.711;0.988;0.998;1.0;0.864;0.865;0.803;0.686;0.866;0.812
ENSMUST00000075387_90_90;0.94;0.875;0.803;0.804;0.811;0.732;0.876;0.866;0.864;1.0;0.999;0.932;0.74;0.998;0.92
ENSMUST00000079491_90_90;0.941;0.876;0.804;0.805;0.812;0.733;0.877;0.865;0.865;0.999;1.0;0.931;0.741;0.999;0.921
ENSMUST00000197425_90_90;0.876;0.813;0.856;0.743;0.744;0.785;0.814;0.805;0.803;0.932;0.931;1.0;0.673;0.93;0.987
ENSMUST00000200575_90_90;0.703;0.697;0.623;0.732;0.897;0.801;0.698;0.686;0.686;0.74;0.741;0.673;1.0;0.74;0.662
ENSMUST00000212480_90_90;0.942;0.877;0.805;0.806;0.811;0.733;0.876;0.864;0.866;0.998;0.999;0.93;0.74;1.0;0.92
ENSMUST00000212758_90_90;0.867;0.804;0.866;0.751;0.733;0.796;0.805;0.812;0.812;0.92;0.921;0.987;0.662;0.92;1.0
