;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.857;0.738;0.916;0.229;0.82;0.875;0.875;0.7;0.693
ENSCAFT00000004373_90_90;0.857;1.0;0.856;0.857;0.175;0.766;0.816;0.816;0.81;0.634
ENST00000333896_90_90;0.738;0.856;1.0;0.738;0.187;0.663;0.7;0.7;0.95;0.672
ENST00000356805_90_90;0.916;0.857;0.738;1.0;0.282;0.883;0.875;0.875;0.7;0.693
ENST00000389980_90_90;0.229;0.175;0.187;0.282;1.0;0.271;0.237;0.237;0.191;0.29
ENST00000615901_90_90;0.82;0.766;0.663;0.883;0.271;1.0;0.784;0.784;0.629;0.619
ENSMUST00000006629_90_90;0.875;0.816;0.7;0.875;0.237;0.784;1.0;1.0;0.722;0.792
ENSMUST00000011877_90_90;0.875;0.816;0.7;0.875;0.237;0.784;1.0;1.0;0.722;0.792
ENSMUST00000102838_90_90;0.7;0.81;0.95;0.7;0.191;0.629;0.722;0.722;1.0;0.691
ENSMUST00000124231_90_90;0.693;0.634;0.672;0.693;0.29;0.619;0.792;0.792;0.691;1.0
