;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.532;0.418;0.418;0.532;0.153;0.303;0.248;0.418;0.153;0.333;0.418;0.418;0.418;0.303;0.498;0.153;0.153;0.997;0.997;0.997;0.768;0.421;0.406
ENST00000249647_90_90;0.532;1.0;0.749;0.749;0.592;0.143;0.628;0.209;0.48;0.149;0.673;0.404;0.404;0.404;0.642;0.518;0.143;0.149;0.386;0.386;0.372;0.329;0.431;0.437
ENST00000349777_90_90;0.418;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.326;0.326;0.313;0.397;0.556;0.57
ENST00000397138_90_90;0.418;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.326;0.326;0.313;0.397;0.556;0.57
ENST00000561526_90_90;0.532;0.592;0.456;0.456;1.0;0.228;0.373;0.32;0.543;0.243;0.443;0.665;0.665;0.665;0.382;0.875;0.228;0.243;0.519;0.519;0.494;0.458;0.682;0.71
ENST00000563765_90_90;0.153;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.154;0.154;0.147;0.2;0.33;0.377
ENST00000563830_90_90;0.303;0.628;0.391;0.391;0.373;0.0;1.0;0.274;0.163;0.0;0.848;0.186;0.186;0.186;0.87;0.296;0.0;0.0;0.223;0.223;0.214;0.15;0.198;0.192
ENST00000563873_90_90;0.248;0.209;0.266;0.266;0.32;0.0;0.274;1.0;0.316;0.0;0.246;0.387;0.387;0.387;0.248;0.355;0.0;0.0;0.211;0.211;0.202;0.262;0.385;0.39
ENST00000564153_90_90;0.418;0.48;0.625;0.625;0.543;0.224;0.163;0.316;1.0;0.239;0.204;0.655;0.655;0.655;0.166;0.6;0.224;0.239;0.362;0.362;0.346;0.451;0.668;0.695
ENST00000566035_90_90;0.153;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.154;0.154;0.147;0.2;0.33;0.377
ENST00000566327_90_90;0.333;0.673;0.422;0.422;0.443;0.0;0.848;0.246;0.204;0.0;1.0;0.236;0.236;0.236;0.875;0.359;0.0;0.0;0.261;0.261;0.251;0.187;0.252;0.249
ENST00000567094_90_90;0.418;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.412;0.412;0.417;0.532;0.863;0.917
ENST00000568331_90_90;0.418;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.412;0.412;0.417;0.532;0.863;0.917
ENST00000568451_90_90;0.418;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.412;0.412;0.417;0.532;0.863;0.917
ENST00000568841_90_90;0.303;0.642;0.4;0.4;0.382;0.0;0.87;0.248;0.166;0.0;0.875;0.191;0.191;0.191;1.0;0.303;0.0;0.0;0.226;0.226;0.218;0.153;0.203;0.197
ENST00000568859_90_90;0.498;0.518;0.496;0.496;0.875;0.255;0.296;0.355;0.6;0.274;0.359;0.754;0.754;0.754;0.303;1.0;0.255;0.274;0.495;0.495;0.471;0.49;0.756;0.794
ENST00000626061_90_90;0.153;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.154;0.154;0.147;0.2;0.33;0.377
ENST00000627440_90_90;0.153;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.154;0.154;0.147;0.2;0.33;0.377
ENSMUST00000028743_90_90;0.997;0.386;0.326;0.326;0.519;0.154;0.223;0.211;0.362;0.154;0.261;0.412;0.412;0.412;0.226;0.495;0.154;0.154;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000110711_90_90;0.997;0.386;0.326;0.326;0.519;0.154;0.223;0.211;0.362;0.154;0.261;0.412;0.412;0.412;0.226;0.495;0.154;0.154;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000116437_90_90;0.997;0.372;0.313;0.313;0.494;0.147;0.214;0.202;0.346;0.147;0.251;0.417;0.417;0.417;0.218;0.471;0.147;0.147;0.95;0.95;1.0;0.732;0.385;0.388
ENSMUST00000142278_90_90;0.768;0.329;0.397;0.397;0.458;0.2;0.15;0.262;0.451;0.2;0.187;0.532;0.532;0.532;0.153;0.49;0.2;0.2;0.77;0.77;0.732;1.0;0.519;0.53
ENSMUST00000150611_90_90;0.421;0.431;0.556;0.556;0.682;0.33;0.198;0.385;0.668;0.33;0.252;0.863;0.863;0.863;0.203;0.756;0.33;0.33;0.404;0.404;0.385;0.519;1.0;0.874
ENSMUST00000153580_90_90;0.406;0.437;0.57;0.57;0.71;0.377;0.192;0.39;0.695;0.377;0.249;0.917;0.917;0.917;0.197;0.794;0.377;0.377;0.408;0.408;0.388;0.53;0.874;1.0
