;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.981;0.99;0.288;0.83;0.184;0.343;0.22;0.096;0.136;0.151;0.342;0.258;0.996;0.987;0.262;0.258;0.317;0.04
ENST00000263280_90_90;0.981;1.0;0.991;0.29;0.842;0.185;0.335;0.225;0.097;0.137;0.152;0.334;0.262;0.985;0.994;0.261;0.262;0.307;0.032
ENST00000391910_90_90;0.99;0.991;1.0;0.288;0.834;0.183;0.344;0.223;0.096;0.136;0.151;0.342;0.26;0.994;0.985;0.259;0.26;0.316;0.04
ENST00000435164_90_90;0.288;0.29;0.288;1.0;0.343;0.542;0.0;0.161;0.284;0.401;0.446;0.52;0.0;0.287;0.29;0.241;0.0;0.553;0.0
ENST00000539396_90_90;0.83;0.842;0.834;0.343;1.0;0.22;0.394;0.081;0.115;0.162;0.181;0.392;0.311;0.833;0.841;0.122;0.311;0.361;0.037
ENST00000593979_90_90;0.184;0.185;0.183;0.542;0.22;1.0;0.0;0.235;0.524;0.739;0.823;0.311;0.0;0.183;0.185;0.346;0.0;0.333;0.0
ENST00000594287_90_90;0.343;0.335;0.344;0.0;0.394;0.0;1.0;0.0;0.0;0.0;0.0;0.192;0.186;0.344;0.335;0.0;0.186;0.152;0.226
ENST00000594704_90_90;0.22;0.225;0.223;0.161;0.081;0.235;0.0;1.0;0.316;0.273;0.26;0.063;0.0;0.22;0.222;0.784;0.0;0.066;0.0
ENST00000596012_90_90;0.096;0.097;0.096;0.284;0.115;0.524;0.0;0.316;1.0;0.709;0.637;0.12;0.0;0.096;0.097;0.325;0.0;0.129;0.0
ENST00000597021_90_90;0.136;0.137;0.136;0.401;0.162;0.739;0.0;0.273;0.709;1.0;0.898;0.207;0.0;0.136;0.137;0.4;0.0;0.221;0.0
ENST00000597063_90_90;0.151;0.152;0.151;0.446;0.181;0.823;0.0;0.26;0.637;0.898;1.0;0.24;0.0;0.151;0.152;0.381;0.0;0.257;0.0
ENST00000600358_90_90;0.342;0.334;0.342;0.52;0.392;0.311;0.192;0.063;0.12;0.207;0.24;1.0;0.0;0.342;0.333;0.13;0.0;0.923;0.227
ENST00000600615_90_90;0.258;0.262;0.26;0.0;0.311;0.0;0.186;0.0;0.0;0.0;0.0;0.0;1.0;0.26;0.262;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.996;0.985;0.994;0.287;0.833;0.183;0.344;0.22;0.096;0.136;0.151;0.342;0.26;1.0;0.991;0.262;0.26;0.316;0.04
ENSMUST00000108495_90_90;0.987;0.994;0.985;0.29;0.841;0.185;0.335;0.222;0.097;0.137;0.152;0.333;0.262;0.991;1.0;0.264;0.262;0.308;0.032
ENSMUST00000184280_90_90;0.262;0.261;0.259;0.241;0.122;0.346;0.0;0.784;0.325;0.4;0.381;0.13;0.0;0.262;0.264;1.0;0.0;0.137;0.0
ENSMUST00000184694_90_90;0.258;0.262;0.26;0.0;0.311;0.0;0.186;0.0;0.0;0.0;0.0;0.0;1.0;0.26;0.262;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.317;0.307;0.316;0.553;0.361;0.333;0.152;0.066;0.129;0.221;0.257;0.923;0.0;0.316;0.308;0.137;0.0;1.0;0.246
ENSMUST00000185011_90_90;0.04;0.032;0.04;0.0;0.037;0.0;0.226;0.0;0.0;0.0;0.0;0.227;0.0;0.04;0.032;0.0;0.0;0.246;1.0
