;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.819;0.865;0.932;0.541;0.489;0.544;0.491;0.463;0.498;0.544;0.422;0.363;0.58;0.432;0.391;0.395;0.555;0.491;0.084;0.077;0.084;0.091;0.476;0.502;0.501;0.526;0.617;0.643;0.392;0.498
transcript7_ENSSTOG00000019743;0.819;1.0;0.828;0.883;0.457;0.462;0.459;0.464;0.535;0.472;0.459;0.366;0.35;0.488;0.364;0.379;0.382;0.468;0.464;0.078;0.089;0.083;0.088;0.454;0.479;0.582;0.503;0.59;0.61;0.375;0.472
transcript7_ENSCCNG00000000226;0.865;0.828;1.0;0.925;0.482;0.487;0.484;0.489;0.466;0.494;0.484;0.383;0.365;0.515;0.395;0.445;0.41;0.494;0.489;0.08;0.08;0.09;0.089;0.476;0.502;0.505;0.591;0.698;0.639;0.39;0.494
transcript7_ENSCPOG00000024843;0.932;0.883;0.925;1.0;0.52;0.523;0.523;0.526;0.499;0.534;0.523;0.404;0.383;0.556;0.415;0.426;0.431;0.533;0.526;0.083;0.079;0.083;0.092;0.512;0.54;0.541;0.564;0.661;0.691;0.412;0.534
transcript10_ENSMPUG00000020072;0.541;0.457;0.482;0.52;1.0;0.85;0.995;0.845;0.81;0.92;0.995;0.773;0.651;0.933;0.879;0.748;0.814;0.976;0.845;0.051;0.047;0.051;0.055;0.842;0.801;0.751;0.783;0.667;0.728;0.731;0.92
transcript10_ENSECAG00000007947;0.489;0.462;0.487;0.523;0.85;1.0;0.845;0.995;0.814;0.921;0.845;0.674;0.659;0.794;0.759;0.773;0.837;0.827;0.995;0.051;0.049;0.051;0.056;0.85;0.807;0.756;0.787;0.68;0.733;0.733;0.921
transcript17_ENSMPUG00000020072;0.544;0.459;0.484;0.523;0.995;0.845;1.0;0.849;0.806;0.915;1.0;0.777;0.655;0.938;0.884;0.743;0.809;0.981;0.849;0.046;0.042;0.046;0.05;0.846;0.796;0.746;0.778;0.662;0.723;0.727;0.915
transcript17_ENSECAG00000007947;0.491;0.464;0.489;0.526;0.845;0.995;0.849;1.0;0.809;0.916;0.849;0.677;0.662;0.798;0.763;0.768;0.832;0.831;1.0;0.046;0.043;0.046;0.051;0.854;0.802;0.751;0.782;0.675;0.729;0.728;0.916
transcript17_ENSSTOG00000019743;0.463;0.535;0.466;0.499;0.81;0.814;0.806;0.809;1.0;0.882;0.806;0.642;0.626;0.759;0.719;0.733;0.797;0.788;0.809;0.048;0.053;0.051;0.053;0.813;0.774;0.918;0.753;0.65;0.704;0.699;0.882
transcript17_ENSCPOG00000024843;0.498;0.472;0.494;0.534;0.92;0.921;0.915;0.916;0.882;1.0;0.915;0.711;0.689;0.858;0.809;0.816;0.894;0.897;0.916;0.05;0.047;0.05;0.054;0.914;0.864;0.81;0.836;0.708;0.774;0.775;1.0
transcript20_ENSMPUG00000020072;0.544;0.459;0.484;0.523;0.995;0.845;1.0;0.849;0.806;0.915;1.0;0.777;0.655;0.938;0.884;0.743;0.809;0.981;0.849;0.046;0.042;0.046;0.05;0.846;0.796;0.746;0.778;0.662;0.723;0.727;0.915
transcript22_ENSMPUG00000020072;0.422;0.366;0.383;0.404;0.773;0.674;0.777;0.677;0.642;0.711;0.777;1.0;0.829;0.715;0.661;0.575;0.605;0.758;0.677;0.059;0.054;0.059;0.064;0.64;0.59;0.579;0.61;0.489;0.515;0.918;0.711
transcript22_ENSMLUG00000027828;0.363;0.35;0.365;0.383;0.651;0.659;0.655;0.662;0.626;0.689;0.655;0.829;1.0;0.608;0.566;0.575;0.603;0.638;0.662;0.065;0.054;0.057;0.064;0.754;0.691;0.552;0.579;0.48;0.503;0.889;0.689
transcript23_ENSMPUG00000020072;0.58;0.488;0.515;0.556;0.933;0.794;0.938;0.798;0.759;0.858;0.938;0.715;0.608;1.0;0.822;0.692;0.752;0.919;0.798;0.049;0.045;0.049;0.053;0.802;0.845;0.699;0.727;0.61;0.665;0.669;0.858
transcript24_ENSMPUG00000020072;0.432;0.364;0.395;0.415;0.879;0.759;0.884;0.763;0.719;0.809;0.884;0.661;0.566;0.822;1.0;0.832;0.905;0.865;0.763;0.052;0.048;0.052;0.056;0.762;0.712;0.658;0.693;0.574;0.615;0.618;0.809
transcript24_ENSCCNG00000000226;0.391;0.379;0.445;0.426;0.748;0.773;0.743;0.768;0.733;0.816;0.743;0.575;0.575;0.692;0.832;1.0;0.913;0.728;0.768;0.055;0.055;0.061;0.06;0.765;0.719;0.674;0.817;0.676;0.63;0.631;0.816
transcript24_ENSCPOG00000024843;0.395;0.382;0.41;0.431;0.814;0.837;0.809;0.832;0.797;0.894;0.809;0.605;0.603;0.752;0.905;0.913;1.0;0.791;0.832;0.055;0.053;0.055;0.061;0.832;0.781;0.724;0.753;0.622;0.667;0.669;0.894
transcript25_ENSMPUG00000020072;0.555;0.468;0.494;0.533;0.976;0.827;0.981;0.831;0.788;0.897;0.981;0.758;0.638;0.919;0.865;0.728;0.791;1.0;0.831;0.047;0.043;0.047;0.051;0.831;0.781;0.728;0.763;0.674;0.737;0.708;0.897
transcript12_ENSECAG00000007947;0.491;0.464;0.489;0.526;0.845;0.995;0.849;1.0;0.809;0.916;0.849;0.677;0.662;0.798;0.763;0.768;0.832;0.831;1.0;0.046;0.043;0.046;0.051;0.854;0.802;0.751;0.782;0.675;0.729;0.728;0.916
transcript9_ENSMLUG00000027828;0.084;0.078;0.08;0.083;0.051;0.051;0.046;0.046;0.048;0.05;0.046;0.059;0.065;0.049;0.052;0.055;0.055;0.047;0.046;1.0;0.783;0.826;0.913;0.049;0.057;0.052;0.053;0.063;0.064;0.064;0.05
transcript9_ENSSTOG00000019743;0.077;0.089;0.08;0.079;0.047;0.049;0.042;0.043;0.053;0.047;0.042;0.054;0.054;0.045;0.048;0.055;0.053;0.043;0.043;0.783;1.0;0.864;0.87;0.041;0.049;0.058;0.053;0.063;0.061;0.061;0.047
transcript9_ENSCCNG00000000226;0.084;0.083;0.09;0.083;0.051;0.051;0.046;0.046;0.051;0.05;0.046;0.059;0.057;0.049;0.052;0.061;0.055;0.047;0.046;0.826;0.864;1.0;0.913;0.043;0.052;0.055;0.059;0.07;0.064;0.064;0.05
transcript9_ENSCPOG00000024843;0.091;0.088;0.089;0.092;0.055;0.056;0.05;0.051;0.053;0.054;0.05;0.064;0.064;0.053;0.056;0.06;0.061;0.051;0.051;0.913;0.87;0.913;1.0;0.049;0.057;0.058;0.059;0.07;0.07;0.07;0.054
transcript13_ENSMLUG00000027828;0.476;0.454;0.476;0.512;0.842;0.85;0.846;0.854;0.813;0.914;0.846;0.64;0.754;0.802;0.762;0.765;0.832;0.831;0.854;0.049;0.041;0.043;0.049;1.0;0.936;0.74;0.767;0.675;0.735;0.689;0.914
transcript14_ENSMLUG00000027828;0.502;0.479;0.502;0.54;0.801;0.807;0.796;0.802;0.774;0.864;0.796;0.59;0.691;0.845;0.712;0.719;0.781;0.781;0.802;0.057;0.049;0.052;0.057;0.936;1.0;0.701;0.721;0.628;0.684;0.639;0.864
transcript26_ENSSTOG00000019743;0.501;0.582;0.505;0.541;0.751;0.756;0.746;0.751;0.918;0.81;0.746;0.579;0.552;0.699;0.658;0.674;0.724;0.728;0.751;0.052;0.058;0.055;0.058;0.74;0.701;1.0;0.813;0.589;0.63;0.625;0.81
transcript26_ENSCCNG00000000226;0.526;0.503;0.591;0.564;0.783;0.787;0.778;0.782;0.753;0.836;0.778;0.61;0.579;0.727;0.693;0.817;0.753;0.763;0.782;0.053;0.053;0.059;0.059;0.767;0.721;0.813;1.0;0.698;0.651;0.652;0.836
transcript18_ENSCCNG00000000226;0.617;0.59;0.698;0.661;0.667;0.68;0.662;0.675;0.65;0.708;0.662;0.489;0.48;0.61;0.574;0.676;0.622;0.674;0.675;0.063;0.063;0.07;0.07;0.675;0.628;0.589;0.698;1.0;0.915;0.52;0.708
transcript18_ENSCPOG00000024843;0.643;0.61;0.639;0.691;0.728;0.733;0.723;0.729;0.704;0.774;0.723;0.515;0.503;0.665;0.615;0.63;0.667;0.737;0.729;0.064;0.061;0.064;0.07;0.735;0.684;0.63;0.651;0.915;1.0;0.548;0.774
transcript32_ENSCPOG00000024843;0.392;0.375;0.39;0.412;0.731;0.733;0.727;0.728;0.699;0.775;0.727;0.918;0.889;0.669;0.618;0.631;0.669;0.708;0.728;0.064;0.061;0.064;0.07;0.689;0.639;0.625;0.652;0.52;0.548;1.0;0.775
transcript33_ENSCPOG00000024843;0.498;0.472;0.494;0.534;0.92;0.921;0.915;0.916;0.882;1.0;0.915;0.711;0.689;0.858;0.809;0.816;0.894;0.897;0.916;0.05;0.047;0.05;0.054;0.914;0.864;0.81;0.836;0.708;0.774;0.775;1.0
