;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.4;0.388;0.395;0.443;0.4;0.103;0.93;0.569;0.046;0.348;0.065;0.39;0.414;0.401;0.402;0.0;0.426;0.196;0.268;0.111;0.289;0.429;0.473;0.429;0.382;0.391;0.103;0.393;0.422;0.399;0.41;0.409;0.436;0.388;0.0;0.893;0.556
ENSCAFT00000018571_90_90;0.4;1.0;0.546;0.587;0.587;0.982;0.46;0.398;0.621;0.111;0.283;0.0;0.571;0.54;0.594;0.565;0.0;0.562;0.174;0.331;0.142;0.359;0.567;0.527;0.612;0.915;0.924;0.44;0.915;0.557;0.56;0.536;0.583;0.48;0.566;0.0;0.395;0.627
ENSCAFT00000021391_90_90;0.388;0.546;1.0;0.782;0.809;0.546;0.278;0.385;0.519;0.079;0.353;0.0;0.862;0.857;0.809;0.896;0.08;0.802;0.235;0.272;0.124;0.296;0.793;0.648;0.832;0.537;0.546;0.275;0.539;0.826;0.92;0.88;0.867;0.735;0.885;0.074;0.391;0.522
ENSCAFT00000021394_90_90;0.395;0.587;0.782;1.0;0.872;0.587;0.283;0.392;0.54;0.053;0.338;0.0;0.883;0.802;0.81;0.843;0.0;0.728;0.251;0.325;0.135;0.352;0.736;0.699;0.917;0.564;0.574;0.281;0.567;0.709;0.82;0.78;0.748;0.623;0.86;0.0;0.398;0.543
ENSCAFT00000021397_90_90;0.443;0.587;0.809;0.872;1.0;0.587;0.271;0.441;0.552;0.09;0.401;0.0;0.819;0.891;0.764;0.853;0.0;0.832;0.27;0.347;0.143;0.377;0.841;0.804;0.932;0.563;0.574;0.268;0.577;0.807;0.83;0.866;0.774;0.712;0.797;0.0;0.449;0.555
ENST00000227348_90_90;0.4;0.982;0.546;0.587;0.587;1.0;0.448;0.398;0.621;0.111;0.283;0.0;0.571;0.54;0.594;0.565;0.0;0.562;0.183;0.331;0.142;0.359;0.567;0.527;0.612;0.931;0.94;0.428;0.93;0.557;0.56;0.536;0.583;0.48;0.566;0.0;0.395;0.627
ENST00000533709_90_90;0.103;0.46;0.278;0.283;0.271;0.448;1.0;0.097;0.285;0.22;0.178;0.0;0.294;0.254;0.302;0.282;0.0;0.259;0.0;0.0;0.0;0.0;0.261;0.197;0.301;0.419;0.432;0.94;0.423;0.257;0.279;0.251;0.287;0.182;0.291;0.0;0.099;0.289
ENST00000252483_90_90;0.93;0.398;0.385;0.392;0.441;0.398;0.097;1.0;0.569;0.047;0.358;0.066;0.388;0.411;0.408;0.399;0.0;0.434;0.201;0.275;0.113;0.296;0.438;0.483;0.426;0.379;0.387;0.097;0.39;0.431;0.396;0.407;0.417;0.446;0.385;0.0;0.943;0.545
ENST00000252485_90_90;0.569;0.621;0.519;0.54;0.552;0.621;0.285;0.569;1.0;0.096;0.392;0.0;0.529;0.514;0.528;0.535;0.0;0.513;0.192;0.263;0.114;0.285;0.516;0.516;0.574;0.601;0.61;0.283;0.604;0.509;0.531;0.51;0.531;0.476;0.525;0.0;0.531;0.911
ENST00000585601_90_90;0.046;0.111;0.079;0.053;0.09;0.111;0.22;0.047;0.096;1.0;0.107;0.0;0.077;0.084;0.082;0.081;0.0;0.09;0.0;0.0;0.0;0.0;0.091;0.067;0.086;0.114;0.111;0.217;0.112;0.089;0.08;0.082;0.086;0.06;0.076;0.0;0.049;0.092
