;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.857;0.92;0.333;0.92;0.8;0.92;0.24;0.083;0.25;0.28;0.875;0.304;0.13;0.833;0.958;0.958;0.348;0.292
ENSCAFT00000047054_90_90;0.857;1.0;0.84;0.2;0.84;0.72;0.84;0.318;0.091;0.273;0.364;1.0;0.208;0.136;0.792;0.917;0.917;0.364;0.364
ENST00000265459_90_90;0.92;0.84;1.0;0.258;1.0;0.852;0.963;0.296;0.071;0.259;0.241;0.808;0.25;0.107;0.808;0.923;0.962;0.269;0.269
ENST00000301894_90_90;0.333;0.2;0.258;1.0;0.258;0.25;0.267;0.0;0.25;0.0;0.0;0.185;1.0;0.6;0.231;0.25;0.241;0.0;0.0
ENST00000377551_90_90;0.92;0.84;1.0;0.258;1.0;0.852;0.963;0.296;0.071;0.259;0.241;0.808;0.25;0.107;0.808;0.923;0.962;0.269;0.269
ENST00000377559_90_90;0.8;0.72;0.852;0.25;0.852;1.0;0.885;0.292;0.083;0.25;0.231;0.72;0.24;0.125;0.955;0.84;0.808;0.261;0.261
ENST00000409571_90_90;0.92;0.84;0.963;0.267;0.963;0.885;1.0;0.308;0.074;0.269;0.25;0.84;0.259;0.111;0.84;0.96;0.923;0.28;0.28
ENST00000417749_90_90;0.24;0.318;0.296;0.0;0.296;0.292;0.308;1.0;0.0;0.667;0.545;0.318;0.0;0.0;0.261;0.28;0.269;0.5;0.875
ENST00000423049_90_90;0.083;0.091;0.071;0.25;0.071;0.083;0.074;0.0;1.0;0.0;0.0;0.087;0.3;0.5;0.087;0.077;0.074;0.0;0.0
ENST00000437746_90_90;0.25;0.273;0.259;0.0;0.259;0.25;0.269;0.667;0.0;1.0;0.333;0.273;0.0;0.0;0.217;0.24;0.231;0.75;0.556
ENST00000442300_90_90;0.28;0.364;0.241;0.0;0.241;0.231;0.25;0.545;0.0;0.333;1.0;0.364;0.0;0.0;0.304;0.32;0.308;0.455;0.778
ENSMUST00000077182_90_90;0.875;1.0;0.808;0.185;0.808;0.72;0.84;0.318;0.087;0.273;0.364;1.0;0.185;0.115;0.76;0.88;0.846;0.364;0.364
ENSMUST00000113458_90_90;0.304;0.208;0.25;1.0;0.25;0.24;0.259;0.0;0.3;0.0;0.0;0.185;1.0;0.545;0.231;0.25;0.241;0.0;0.0
ENSMUST00000113459_90_90;0.13;0.136;0.107;0.6;0.107;0.125;0.111;0.0;0.5;0.0;0.0;0.115;0.545;1.0;0.115;0.103;0.1;0.0;0.0
ENSMUST00000113461_90_90;0.833;0.792;0.808;0.231;0.808;0.955;0.84;0.261;0.087;0.217;0.304;0.76;0.231;0.115;1.0;0.88;0.846;0.304;0.304
ENSMUST00000113462_90_90;0.958;0.917;0.923;0.25;0.923;0.84;0.96;0.28;0.077;0.24;0.32;0.88;0.25;0.103;0.88;1.0;0.962;0.32;0.32
ENSMUST00000137166_90_90;0.958;0.917;0.962;0.241;0.962;0.808;0.923;0.269;0.074;0.231;0.308;0.846;0.241;0.1;0.846;0.962;1.0;0.308;0.308
ENSMUST00000137821_90_90;0.348;0.364;0.269;0.0;0.269;0.261;0.28;0.5;0.0;0.75;0.455;0.364;0.0;0.0;0.304;0.32;0.308;1.0;0.6
ENSMUST00000155158_90_90;0.292;0.364;0.269;0.0;0.269;0.261;0.28;0.875;0.0;0.556;0.778;0.364;0.0;0.0;0.304;0.32;0.308;0.6;1.0
