;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;1.0;0.786;0.75;0.333;0.533;0.417;0.083;0.5;0.667;0.167;0.25;0.786;0.75
ENST00000254322_90_90;0.786;1.0;0.692;0.308;0.714;0.385;0.077;0.462;0.615;0.154;0.231;0.857;0.692
ENST00000396969_90_90;0.75;0.692;1.0;0.444;0.538;0.556;0.111;0.667;0.889;0.222;0.333;0.692;1.0
ENST00000594099_90_90;0.333;0.308;0.444;1.0;0.364;0.8;0.25;0.667;0.5;0.5;0.75;0.308;0.444
ENST00000595139_90_90;0.533;0.714;0.538;0.364;1.0;0.455;0.091;0.545;0.583;0.182;0.273;0.6;0.538
ENST00000595992_90_90;0.417;0.385;0.556;0.8;0.455;1.0;0.2;0.833;0.625;0.4;0.6;0.385;0.556
ENST00000596075_90_90;0.083;0.077;0.111;0.25;0.091;0.2;1.0;0.167;0.125;0.5;0.333;0.077;0.111
ENST00000596853_90_90;0.5;0.462;0.667;0.667;0.545;0.833;0.167;1.0;0.75;0.333;0.5;0.462;0.667
ENST00000598235_90_90;0.667;0.615;0.889;0.5;0.583;0.625;0.125;0.75;1.0;0.25;0.375;0.615;0.889
ENST00000598692_90_90;0.167;0.154;0.222;0.5;0.182;0.4;0.5;0.333;0.25;1.0;0.667;0.154;0.222
ENST00000601533_90_90;0.25;0.231;0.333;0.75;0.273;0.6;0.333;0.5;0.375;0.667;1.0;0.231;0.333
ENSMUST00000005620_90_90;0.786;0.857;0.692;0.308;0.6;0.385;0.077;0.462;0.615;0.154;0.231;1.0;0.692
ENSMUST00000212300_90_90;0.75;0.692;1.0;0.444;0.538;0.556;0.111;0.667;0.889;0.222;0.333;0.692;1.0
