;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.933;0.533;0.867;0.4;0.8;0.533;0.867;0.867;0.933;0.846;0.769;0.231
ENST00000320672_90_90;0.933;1.0;0.562;0.933;0.375;0.867;0.412;0.933;0.875;0.938;0.769;0.692;0.25
ENST00000504985_90_90;0.533;0.562;1.0;0.5;0.308;0.438;0.583;0.5;0.562;0.625;0.727;0.636;0.0
ENST00000505980_90_90;0.867;0.933;0.5;1.0;0.312;0.8;0.353;0.867;0.812;0.875;0.692;0.615;0.273
ENST00000509013_90_90;0.4;0.375;0.308;0.312;1.0;0.333;0.333;0.312;0.294;0.353;0.455;0.364;0.0
ENST00000509053_90_90;0.8;0.867;0.438;0.8;0.333;1.0;0.294;0.929;0.867;0.812;0.615;0.667;0.3
ENST00000512923_90_90;0.533;0.412;0.583;0.353;0.333;0.294;1.0;0.353;0.333;0.389;0.727;0.636;0.0
ENST00000514493_90_90;0.867;0.933;0.5;0.867;0.312;0.929;0.353;1.0;0.933;0.875;0.692;0.75;0.273
ENST00000515395_90_90;0.867;0.875;0.562;0.812;0.294;0.867;0.333;0.933;1.0;0.938;0.692;0.75;0.273
ENST00000615665_90_90;0.933;0.938;0.625;0.875;0.353;0.812;0.389;0.875;0.938;1.0;0.769;0.692;0.25
ENSMUST00000004094_90_90;0.846;0.769;0.727;0.692;0.455;0.615;0.727;0.692;0.692;0.769;1.0;0.917;0.133
ENSMUST00000042122_90_90;0.769;0.692;0.636;0.615;0.364;0.667;0.636;0.75;0.75;0.692;0.917;1.0;0.143
ENSMUST00000138488_90_90;0.231;0.25;0.0;0.273;0.0;0.3;0.0;0.273;0.273;0.25;0.133;0.143;1.0
