;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.877;0.811;0.812;0.521;0.452;0.862;0.827;0.857;0.75;0.764;0.703;0.432;0.78;0.698
ENST00000248933_90_90;0.877;1.0;0.931;0.931;0.518;0.449;0.984;0.945;0.978;0.673;0.688;0.628;0.429;0.703;0.624
ENST00000343706_90_90;0.811;0.931;1.0;0.903;0.449;0.483;0.914;0.917;0.952;0.61;0.624;0.642;0.36;0.639;0.668
ENST00000360929_90_90;0.812;0.931;0.903;1.0;0.449;0.408;0.915;0.917;0.952;0.611;0.625;0.566;0.432;0.639;0.59
ENST00000402979_90_90;0.521;0.518;0.449;0.449;1.0;0.828;0.522;0.483;0.496;0.53;0.552;0.476;0.761;0.546;0.47
ENST00000403121_90_90;0.452;0.449;0.483;0.408;0.828;1.0;0.452;0.441;0.456;0.45;0.47;0.48;0.588;0.467;0.512
ENST00000404234_90_90;0.862;0.984;0.914;0.915;0.522;0.452;1.0;0.961;0.962;0.681;0.696;0.635;0.432;0.688;0.631
ENST00000529632_90_90;0.827;0.945;0.917;0.917;0.483;0.441;0.961;1.0;0.966;0.668;0.661;0.623;0.393;0.654;0.627
ENST00000629590_90_90;0.857;0.978;0.952;0.952;0.496;0.456;0.962;0.966;1.0;0.654;0.668;0.61;0.408;0.683;0.635
ENSMUST00000075387_90_90;0.75;0.673;0.61;0.611;0.53;0.45;0.681;0.668;0.654;1.0;0.978;0.944;0.457;0.958;0.895
ENSMUST00000079491_90_90;0.764;0.688;0.624;0.625;0.552;0.47;0.696;0.661;0.668;0.978;1.0;0.922;0.479;0.978;0.917
ENSMUST00000197425_90_90;0.703;0.628;0.642;0.566;0.476;0.48;0.635;0.623;0.61;0.944;0.922;1.0;0.402;0.903;0.948
ENSMUST00000200575_90_90;0.432;0.429;0.36;0.432;0.761;0.588;0.432;0.393;0.408;0.457;0.479;0.402;1.0;0.474;0.396
ENSMUST00000212480_90_90;0.78;0.703;0.639;0.639;0.546;0.467;0.688;0.654;0.683;0.958;0.978;0.903;0.474;1.0;0.897
ENSMUST00000212758_90_90;0.698;0.624;0.668;0.59;0.47;0.512;0.631;0.627;0.635;0.895;0.917;0.948;0.396;0.897;1.0
