;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.993;0.764;0.98;0.948;0.944;0.956;0.931;1.0;0.885;0.993;0.736;0.764;0.756;0.707;0.609;0.758;0.967;0.873;0.993;0.972;0.923;0.954;0.934;0.971
transcript27_ENSAPOG00000016134;0.993;1.0;0.77;0.986;0.956;0.951;0.962;0.939;0.993;0.892;1.0;0.742;0.77;0.764;0.714;0.615;0.766;0.974;0.88;1.0;0.978;0.929;0.96;0.941;0.978
transcript32_ENSAPOG00000016134;0.764;0.77;1.0;0.758;0.782;0.811;0.801;0.802;0.764;0.762;0.77;0.923;1.0;0.93;0.921;0.786;0.993;0.749;0.762;0.77;0.776;0.77;0.793;0.794;0.752
transcript33_ENSAPOG00000016134;0.98;0.986;0.758;1.0;0.943;0.938;0.95;0.926;0.98;0.88;0.986;0.732;0.758;0.752;0.704;0.606;0.754;0.961;0.867;0.986;0.964;0.917;0.948;0.928;0.992
transcript35_ENSAPOG00000016134;0.948;0.956;0.782;0.943;1.0;0.964;0.976;0.951;0.948;0.905;0.956;0.752;0.782;0.774;0.724;0.625;0.776;0.93;0.893;0.956;0.946;0.937;0.968;0.948;0.935
transcript36_ENSAPOG00000016134;0.944;0.951;0.811;0.938;0.964;1.0;0.988;0.986;0.944;0.915;0.951;0.779;0.811;0.803;0.752;0.649;0.806;0.926;0.907;0.951;0.958;0.948;0.98;0.983;0.93
transcript37_ENSAPOG00000016134;0.956;0.962;0.801;0.95;0.976;0.988;1.0;0.974;0.956;0.926;0.962;0.77;0.801;0.794;0.742;0.641;0.796;0.938;0.914;0.962;0.97;0.959;0.992;0.972;0.942
transcript38_ENSAPOG00000016134;0.931;0.939;0.802;0.926;0.951;0.986;0.974;1.0;0.931;0.902;0.939;0.771;0.802;0.794;0.744;0.639;0.797;0.913;0.894;0.939;0.946;0.935;0.966;0.982;0.918
transcript7_ENSAPOG00000023408;1.0;0.993;0.764;0.98;0.948;0.944;0.956;0.931;1.0;0.885;0.993;0.736;0.764;0.756;0.707;0.609;0.758;0.967;0.873;0.993;0.972;0.923;0.954;0.934;0.971
transcript8_ENSAPOG00000023408;0.885;0.892;0.762;0.88;0.905;0.915;0.926;0.902;0.885;1.0;0.892;0.732;0.762;0.755;0.703;0.599;0.757;0.869;0.981;0.892;0.903;0.909;0.928;0.913;0.873
transcript27_ENSAPOG00000023408;0.993;1.0;0.77;0.986;0.956;0.951;0.962;0.939;0.993;0.892;1.0;0.742;0.77;0.764;0.714;0.615;0.766;0.974;0.88;1.0;0.978;0.929;0.96;0.941;0.978
transcript30_ENSAPOG00000023408;0.736;0.742;0.923;0.732;0.752;0.779;0.77;0.771;0.736;0.732;0.742;1.0;0.923;0.916;0.85;0.724;0.916;0.723;0.732;0.742;0.747;0.741;0.762;0.764;0.725
transcript32_ENSAPOG00000023408;0.764;0.77;1.0;0.758;0.782;0.811;0.801;0.802;0.764;0.762;0.77;0.923;1.0;0.93;0.921;0.786;0.993;0.749;0.762;0.77;0.776;0.77;0.793;0.794;0.752
transcript40_ENSAPOG00000023408;0.756;0.764;0.93;0.752;0.774;0.803;0.794;0.794;0.756;0.755;0.764;0.916;0.93;1.0;0.88;0.751;0.923;0.742;0.755;0.764;0.769;0.764;0.786;0.787;0.745
transcript41_ENSAPOG00000023408;0.707;0.714;0.921;0.704;0.724;0.752;0.742;0.744;0.707;0.703;0.714;0.85;0.921;0.88;1.0;0.853;0.915;0.695;0.702;0.714;0.72;0.714;0.735;0.736;0.697
transcript42_ENSAPOG00000023408;0.609;0.615;0.786;0.606;0.625;0.649;0.641;0.639;0.609;0.599;0.615;0.724;0.786;0.751;0.853;1.0;0.779;0.598;0.609;0.615;0.621;0.616;0.633;0.633;0.6
transcript43_ENSAPOG00000023408;0.758;0.766;0.993;0.754;0.776;0.806;0.796;0.797;0.758;0.757;0.766;0.916;0.993;0.923;0.915;0.779;1.0;0.744;0.756;0.766;0.772;0.765;0.788;0.79;0.747
transcript1_ENSAOCG00000015695;0.967;0.974;0.749;0.961;0.93;0.926;0.938;0.913;0.967;0.869;0.974;0.723;0.749;0.742;0.695;0.598;0.744;1.0;0.857;0.974;0.962;0.906;0.935;0.916;0.969
transcript8_ENSAOCG00000015695;0.873;0.88;0.762;0.867;0.893;0.907;0.914;0.894;0.873;0.981;0.88;0.732;0.762;0.755;0.702;0.609;0.756;0.857;1.0;0.88;0.891;0.897;0.916;0.905;0.861
transcript25_ENSAOCG00000015695;0.993;1.0;0.77;0.986;0.956;0.951;0.962;0.939;0.993;0.892;1.0;0.742;0.77;0.764;0.714;0.615;0.766;0.974;0.88;1.0;0.978;0.929;0.96;0.941;0.978
transcript26_ENSAOCG00000015695;0.972;0.978;0.776;0.964;0.946;0.958;0.97;0.946;0.972;0.903;0.978;0.747;0.776;0.769;0.72;0.621;0.772;0.962;0.891;0.978;1.0;0.942;0.972;0.952;0.956
transcript36_ENSAOCG00000015695;0.923;0.929;0.77;0.917;0.937;0.948;0.959;0.935;0.923;0.909;0.929;0.741;0.77;0.764;0.714;0.616;0.765;0.906;0.897;0.929;0.942;1.0;0.967;0.948;0.909
transcript37_ENSAOCG00000015695;0.954;0.96;0.793;0.948;0.968;0.98;0.992;0.966;0.954;0.928;0.96;0.762;0.793;0.786;0.735;0.633;0.788;0.935;0.916;0.96;0.972;0.967;1.0;0.98;0.94
transcript38_ENSAOCG00000015695;0.934;0.941;0.794;0.928;0.948;0.983;0.972;0.982;0.934;0.913;0.941;0.764;0.794;0.787;0.736;0.633;0.79;0.916;0.905;0.941;0.952;0.948;0.98;1.0;0.92
transcript22_ENSPNYG00000024266;0.971;0.978;0.752;0.992;0.935;0.93;0.942;0.918;0.971;0.873;0.978;0.725;0.752;0.745;0.697;0.6;0.747;0.969;0.861;0.978;0.956;0.909;0.94;0.92;1.0
