;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.692;0.769;0.538;0.583;0.5;0.154;0.583;0.714;0.833;0.667;0.385;0.75
ENST00000336604_90_90;0.692;1.0;0.909;0.8;0.545;0.6;0.182;0.545;0.833;0.818;0.636;0.333;0.583
ENST00000356896_90_90;0.769;0.909;1.0;0.727;0.636;0.545;0.167;0.636;0.917;0.75;0.583;0.308;0.667
ENST00000396840_90_90;0.538;0.8;0.727;1.0;0.364;0.4;0.222;0.364;0.667;0.636;0.778;0.4;0.545
ENST00000436152_90_90;0.583;0.545;0.636;0.364;1.0;0.857;0.0;1.0;0.583;0.545;0.364;0.083;0.6
ENST00000465801_90_90;0.5;0.6;0.545;0.4;0.857;1.0;0.0;0.857;0.5;0.6;0.4;0.091;0.5
ENST00000487279_90_90;0.154;0.182;0.167;0.222;0.0;0.0;1.0;0.0;0.154;0.182;0.222;0.286;0.091
ENST00000615885_90_90;0.583;0.545;0.636;0.364;1.0;0.857;0.0;1.0;0.583;0.545;0.364;0.083;0.6
ENST00000619571_90_90;0.714;0.833;0.917;0.667;0.583;0.5;0.154;0.583;1.0;0.692;0.538;0.286;0.615
ENSMUST00000117675_90_90;0.833;0.818;0.75;0.636;0.545;0.6;0.182;0.545;0.692;1.0;0.8;0.455;0.727
ENSMUST00000119527_90_90;0.667;0.636;0.583;0.778;0.364;0.4;0.222;0.364;0.538;0.8;1.0;0.556;0.7
ENSMUST00000144364_90_90;0.385;0.333;0.308;0.4;0.083;0.091;0.286;0.083;0.286;0.455;0.556;1.0;0.364
ENSMUST00000148835_90_90;0.75;0.583;0.667;0.545;0.6;0.5;0.091;0.6;0.615;0.727;0.7;0.364;1.0
