;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.966;0.921;0.934;0.865;0.842;0.674;0.888;0.873;0.913;0.939;0.649;0.999
transcript21_ENSMUNG00000007775;0.952;1.0;0.988;0.93;0.978;0.697;0.952;0.972;0.952;0.922;0.973;0.988;0.917;0.893;0.727;0.941;0.926;0.96;0.986;0.697;0.951
transcript23_ENSMUNG00000007775;0.94;0.988;1.0;0.918;0.99;0.704;0.94;0.96;0.94;0.925;0.976;0.991;0.919;0.896;0.73;0.944;0.929;0.948;0.999;0.704;0.939
transcript25_ENSMUNG00000007775;0.882;0.93;0.918;1.0;0.908;0.627;0.882;0.902;0.882;0.847;0.9;0.913;0.844;0.821;0.654;0.867;0.851;0.892;0.917;0.627;0.881
transcript26_ENSMUNG00000007775;0.929;0.978;0.99;0.908;1.0;0.711;0.929;0.95;0.929;0.909;0.96;0.976;0.904;0.881;0.714;0.929;0.913;0.938;0.989;0.711;0.928
transcript30_ENSMUNG00000007775;0.649;0.697;0.704;0.627;0.711;1.0;0.649;0.668;0.649;0.663;0.717;0.73;0.661;0.637;0.955;0.683;0.668;0.659;0.704;1.0;0.647
transcript31_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.966;0.921;0.934;0.865;0.842;0.674;0.888;0.873;0.913;0.939;0.649;0.999
transcript32_ENSMUNG00000007775;0.923;0.972;0.96;0.902;0.95;0.668;0.923;1.0;0.923;0.884;0.935;0.95;0.879;0.856;0.689;0.903;0.916;0.932;0.958;0.668;0.922
transcript33_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.966;0.921;0.934;0.865;0.842;0.674;0.888;0.873;0.913;0.939;0.649;0.999
transcript9_ENSMUNG00000002377;0.966;0.922;0.925;0.847;0.909;0.663;0.966;0.884;0.966;1.0;0.908;0.935;0.888;0.865;0.646;0.891;0.876;0.87;0.927;0.649;0.968
transcript13_ENSMUNG00000002377;0.921;0.973;0.976;0.9;0.96;0.717;0.921;0.935;0.921;0.908;1.0;0.972;0.945;0.923;0.739;0.928;0.914;0.962;0.964;0.694;0.909
transcript23_ENSMUNG00000002377;0.934;0.988;0.991;0.913;0.976;0.73;0.934;0.95;0.934;0.935;0.972;1.0;0.917;0.895;0.71;0.956;0.941;0.932;0.992;0.714;0.936
transcript27_ENSMUNG00000002377;0.865;0.917;0.919;0.844;0.904;0.661;0.865;0.879;0.865;0.888;0.945;0.917;1.0;0.976;0.684;0.873;0.859;0.907;0.909;0.639;0.856
transcript35_ENSMUNG00000002377;0.842;0.893;0.896;0.821;0.881;0.637;0.842;0.856;0.842;0.865;0.923;0.895;0.976;1.0;0.662;0.851;0.837;0.885;0.887;0.617;0.834
transcript36_ENSMUNG00000002377;0.674;0.727;0.73;0.654;0.714;0.955;0.674;0.689;0.674;0.646;0.739;0.71;0.684;0.662;1.0;0.667;0.653;0.702;0.704;0.934;0.651
transcript37_ENSMUNG00000002377;0.888;0.941;0.944;0.867;0.929;0.683;0.888;0.903;0.888;0.891;0.928;0.956;0.873;0.851;0.667;1.0;0.984;0.889;0.948;0.669;0.892
transcript38_ENSMUNG00000002377;0.873;0.926;0.929;0.851;0.913;0.668;0.873;0.916;0.873;0.876;0.914;0.941;0.859;0.837;0.653;0.984;1.0;0.875;0.933;0.655;0.877
transcript10_ENSMUNG00000002391;0.913;0.96;0.948;0.892;0.938;0.659;0.913;0.932;0.913;0.87;0.962;0.932;0.907;0.885;0.702;0.889;0.875;1.0;0.941;0.645;0.906
transcript23_ENSMUNG00000002391;0.939;0.986;0.999;0.917;0.989;0.704;0.939;0.958;0.939;0.927;0.964;0.992;0.909;0.887;0.704;0.948;0.933;0.941;1.0;0.694;0.94
transcript30_ENSMUNG00000002391;0.649;0.697;0.704;0.627;0.711;1.0;0.649;0.668;0.649;0.649;0.694;0.714;0.639;0.617;0.934;0.669;0.655;0.645;0.694;1.0;0.638
transcript33_ENSMUNG00000002391;0.999;0.951;0.939;0.881;0.928;0.647;0.999;0.922;0.999;0.968;0.909;0.936;0.856;0.834;0.651;0.892;0.877;0.906;0.94;0.638;1.0
