;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.361;0.312;0.312;0.5;0.138;0.212;0.209;0.35;0.143;0.247;0.398;0.398;0.398;0.215;0.483;0.138;0.143;0.989;0.989;0.94;0.763;0.4;0.404
ENST00000249647_90_90;0.361;1.0;0.749;0.749;0.592;0.143;0.628;0.209;0.48;0.149;0.673;0.404;0.404;0.404;0.642;0.518;0.143;0.149;0.364;0.364;0.351;0.309;0.398;0.402
ENST00000349777_90_90;0.312;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.314;0.314;0.302;0.38;0.524;0.536
ENST00000397138_90_90;0.312;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.314;0.314;0.302;0.38;0.524;0.536
ENST00000561526_90_90;0.5;0.592;0.456;0.456;1.0;0.228;0.373;0.32;0.543;0.243;0.443;0.665;0.665;0.665;0.382;0.875;0.228;0.243;0.504;0.504;0.481;0.443;0.652;0.676
ENST00000563765_90_90;0.138;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.14;0.14;0.134;0.177;0.272;0.304
ENST00000563830_90_90;0.212;0.628;0.391;0.391;0.373;0.0;1.0;0.274;0.163;0.0;0.848;0.186;0.186;0.186;0.87;0.296;0.0;0.0;0.212;0.212;0.205;0.143;0.185;0.179
ENST00000563873_90_90;0.209;0.209;0.266;0.266;0.32;0.0;0.274;1.0;0.316;0.0;0.246;0.387;0.387;0.387;0.248;0.355;0.0;0.0;0.21;0.21;0.201;0.261;0.384;0.389
ENST00000564153_90_90;0.35;0.48;0.625;0.625;0.543;0.224;0.163;0.316;1.0;0.239;0.204;0.655;0.655;0.655;0.166;0.6;0.224;0.239;0.353;0.353;0.338;0.439;0.642;0.666
ENST00000566035_90_90;0.143;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.146;0.146;0.139;0.187;0.295;0.332
ENST00000566327_90_90;0.247;0.673;0.422;0.422;0.443;0.0;0.848;0.246;0.204;0.0;1.0;0.236;0.236;0.236;0.875;0.359;0.0;0.0;0.248;0.248;0.239;0.177;0.235;0.231
ENST00000567094_90_90;0.398;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.402;0.402;0.407;0.516;0.822;0.87
ENST00000568331_90_90;0.398;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.402;0.402;0.407;0.516;0.822;0.87
ENST00000568451_90_90;0.398;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.402;0.402;0.407;0.516;0.822;0.87
ENST00000568841_90_90;0.215;0.642;0.4;0.4;0.382;0.0;0.87;0.248;0.166;0.0;0.875;0.191;0.191;0.191;1.0;0.303;0.0;0.0;0.216;0.216;0.208;0.145;0.19;0.184
ENST00000568859_90_90;0.483;0.518;0.496;0.496;0.875;0.255;0.296;0.355;0.6;0.274;0.359;0.754;0.754;0.754;0.303;1.0;0.255;0.274;0.488;0.488;0.464;0.481;0.737;0.773
ENST00000626061_90_90;0.138;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.14;0.14;0.134;0.177;0.272;0.304
ENST00000627440_90_90;0.143;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.146;0.146;0.139;0.187;0.295;0.332
ENSMUST00000028743_90_90;0.989;0.364;0.314;0.314;0.504;0.14;0.212;0.21;0.353;0.146;0.248;0.402;0.402;0.402;0.216;0.488;0.14;0.146;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000110711_90_90;0.989;0.364;0.314;0.314;0.504;0.14;0.212;0.21;0.353;0.146;0.248;0.402;0.402;0.402;0.216;0.488;0.14;0.146;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000116437_90_90;0.94;0.351;0.302;0.302;0.481;0.134;0.205;0.201;0.338;0.139;0.239;0.407;0.407;0.407;0.208;0.464;0.134;0.139;0.95;0.95;1.0;0.732;0.385;0.388
ENSMUST00000142278_90_90;0.763;0.309;0.38;0.38;0.443;0.177;0.143;0.261;0.439;0.187;0.177;0.516;0.516;0.516;0.145;0.481;0.177;0.187;0.77;0.77;0.732;1.0;0.519;0.53
ENSMUST00000150611_90_90;0.4;0.398;0.524;0.524;0.652;0.272;0.185;0.384;0.642;0.295;0.235;0.822;0.822;0.822;0.19;0.737;0.272;0.295;0.404;0.404;0.385;0.519;1.0;0.874
ENSMUST00000153580_90_90;0.404;0.402;0.536;0.536;0.676;0.304;0.179;0.389;0.666;0.332;0.231;0.87;0.87;0.87;0.184;0.773;0.304;0.332;0.408;0.408;0.388;0.53;0.874;1.0
