;transcript5_ENSHGLG00100006079;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript7_ENSXMAG00000026005;transcript5_ENSXMAG00000026005
transcript5_ENSHGLG00100006079;1.0;0.814;0.814;0.748;0.628;0.719;0.649;0.628;0.814;0.814;0.814
transcript5_ENSHGLG00100003156;0.814;1.0;1.0;0.936;0.551;0.906;0.837;0.551;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;0.814;1.0;1.0;0.936;0.551;0.906;0.837;0.551;1.0;1.0;1.0
transcript34_ENSHGLG00100003156;0.748;0.936;0.936;1.0;0.487;0.842;0.808;0.487;0.936;0.936;0.936
transcript35_ENSHGLG00100003156;0.628;0.551;0.551;0.487;1.0;0.457;0.388;1.0;0.551;0.551;0.551
transcript36_ENSHGLG00100003156;0.719;0.906;0.906;0.842;0.457;1.0;0.742;0.457;0.906;0.906;0.906
transcript33_ENSHGLG00100003156;0.649;0.837;0.837;0.808;0.388;0.742;1.0;0.388;0.837;0.837;0.837
transcript30_ENSHGLG00100006079;0.628;0.551;0.551;0.487;1.0;0.457;0.388;1.0;0.551;0.551;0.551
transcript5_ENSPCIG00000036398;0.814;1.0;1.0;0.936;0.551;0.906;0.837;0.551;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;0.814;1.0;1.0;0.936;0.551;0.906;0.837;0.551;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;0.814;1.0;1.0;0.936;0.551;0.906;0.837;0.551;1.0;1.0;1.0
