;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.546;0.887;0.629;0.842;0.99;0.217;0.306;0.931;0.888;0.628;0.595;0.991;0.311;0.574;0.313
ENST00000379697_90_90;0.546;1.0;0.472;0.242;0.525;0.551;0.263;0.375;0.606;0.471;0.242;0.231;0.55;0.375;0.609;0.027
ENST00000379698_90_90;0.887;0.472;1.0;0.669;0.894;0.896;0.232;0.33;0.837;0.992;0.667;0.63;0.891;0.33;0.649;0.331
ENST00000379716_90_90;0.629;0.242;0.669;1.0;0.652;0.632;0.0;0.032;0.591;0.667;0.995;0.916;0.63;0.042;0.336;0.486
ENST00000379726_90_90;0.842;0.525;0.894;0.652;1.0;0.848;0.226;0.301;0.905;0.89;0.649;0.614;0.843;0.311;0.571;0.322
ENST00000397821_90_90;0.99;0.551;0.896;0.632;0.848;1.0;0.219;0.312;0.933;0.891;0.63;0.597;0.995;0.312;0.577;0.312
ENST00000431164_90_90;0.217;0.263;0.232;0.0;0.226;0.219;1.0;0.69;0.204;0.23;0.0;0.0;0.218;0.686;0.323;0.0
ENST00000432234_90_90;0.306;0.375;0.33;0.032;0.301;0.312;0.69;1.0;0.291;0.329;0.032;0.03;0.31;0.94;0.461;0.0
ENSMUST00000073094_90_90;0.931;0.606;0.837;0.591;0.905;0.933;0.204;0.291;1.0;0.842;0.593;0.564;0.938;0.294;0.544;0.295
ENSMUST00000080394_90_90;0.888;0.471;0.992;0.667;0.89;0.891;0.23;0.329;0.842;1.0;0.669;0.632;0.896;0.332;0.652;0.333
ENSMUST00000112451_90_90;0.628;0.242;0.667;0.995;0.649;0.63;0.0;0.032;0.593;0.669;1.0;0.92;0.632;0.042;0.335;0.489
ENSMUST00000112453_90_90;0.595;0.231;0.63;0.916;0.614;0.597;0.0;0.03;0.564;0.632;0.92;1.0;0.599;0.039;0.317;0.45
ENSMUST00000112456_90_90;0.991;0.55;0.891;0.63;0.843;0.995;0.218;0.31;0.938;0.896;0.632;0.599;1.0;0.313;0.578;0.314
ENSMUST00000123433_90_90;0.311;0.375;0.33;0.042;0.311;0.312;0.686;0.94;0.294;0.332;0.042;0.039;0.313;1.0;0.466;0.0
ENSMUST00000141354_90_90;0.574;0.609;0.649;0.336;0.571;0.577;0.323;0.461;0.544;0.652;0.335;0.317;0.578;0.466;1.0;0.08
ENSMUST00000152426_90_90;0.313;0.027;0.331;0.486;0.322;0.312;0.0;0.0;0.295;0.333;0.489;0.45;0.314;0.0;0.08;1.0
