;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.978;0.302;0.151;0.361;0.433;1.0;0.122;0.915;1.0;0.976;0.409;0.113;0.084;0.084
ENST00000335135_90_90;0.978;1.0;0.302;0.151;0.361;0.433;0.961;0.122;0.936;0.953;1.0;0.416;0.118;0.088;0.088
ENST00000526716_90_90;0.302;0.302;1.0;0.0;0.0;0.684;0.294;0.0;0.318;0.29;0.299;0.709;0.0;0.0;0.0
ENST00000526974_90_90;0.151;0.151;0.0;1.0;0.371;0.0;0.142;0.764;0.139;0.163;0.176;0.0;0.674;0.496;0.496
ENST00000528027_90_90;0.361;0.361;0.0;0.371;1.0;0.0;0.343;0.296;0.297;0.383;0.409;0.0;0.249;0.185;0.185
ENST00000528712_90_90;0.433;0.433;0.684;0.0;0.0;1.0;0.42;0.0;0.458;0.402;0.416;1.0;0.0;0.0;0.0
ENST00000532059_90_90;1.0;0.961;0.294;0.142;0.343;0.42;1.0;0.114;0.901;1.0;0.953;0.402;0.109;0.081;0.081
ENST00000532977_90_90;0.122;0.122;0.0;0.764;0.296;0.0;0.114;1.0;0.108;0.132;0.143;0.0;0.889;0.654;0.654
ENST00000622443_90_90;0.915;0.936;0.318;0.139;0.297;0.458;0.901;0.108;1.0;0.884;0.923;0.443;0.101;0.068;0.068
ENSMUST00000067417_90_90;1.0;0.953;0.29;0.163;0.383;0.402;1.0;0.132;0.884;1.0;0.959;0.427;0.098;0.073;0.073
ENSMUST00000118022_90_90;0.976;1.0;0.299;0.176;0.409;0.416;0.953;0.143;0.923;0.959;1.0;0.442;0.105;0.078;0.078
ENSMUST00000121312_90_90;0.409;0.416;0.709;0.0;0.0;1.0;0.402;0.0;0.443;0.427;0.442;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.113;0.118;0.0;0.674;0.249;0.0;0.109;0.889;0.101;0.098;0.105;0.0;1.0;0.736;0.736
ENSMUST00000137244_90_90;0.084;0.088;0.0;0.496;0.185;0.0;0.081;0.654;0.068;0.073;0.078;0.0;0.736;1.0;1.0
ENSMUST00000156782_90_90;0.084;0.088;0.0;0.496;0.185;0.0;0.081;0.654;0.068;0.073;0.078;0.0;0.736;1.0;1.0
