;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.914;0.392;0.516;0.815;0.738;0.109;0.276;0.234;0.335;0.645;0.888;0.974
ENSCAFT00000009525_90_90;0.914;1.0;0.425;0.561;0.738;0.797;0.118;0.299;0.191;0.363;0.701;0.97;0.888
ENST00000305852_90_90;0.392;0.425;1.0;0.666;0.465;0.508;0.0;0.625;0.344;0.731;0.301;0.434;0.4
ENST00000357996_90_90;0.516;0.561;0.666;1.0;0.548;0.598;0.183;0.468;0.252;0.496;0.481;0.574;0.527
ENST00000379245_90_90;0.815;0.738;0.465;0.548;1.0;0.915;0.108;0.304;0.231;0.371;0.727;0.716;0.792
ENST00000405912_90_90;0.738;0.797;0.508;0.598;0.915;1.0;0.117;0.331;0.188;0.403;0.793;0.773;0.716
ENST00000413938_90_90;0.109;0.118;0.0;0.183;0.108;0.117;1.0;0.0;0.0;0.0;0.142;0.12;0.111
ENST00000414288_90_90;0.276;0.299;0.625;0.468;0.304;0.331;0.0;1.0;0.426;0.597;0.171;0.306;0.281
ENST00000432869_90_90;0.234;0.191;0.344;0.252;0.231;0.188;0.0;0.426;1.0;0.325;0.032;0.198;0.242
ENST00000441005_90_90;0.335;0.363;0.731;0.496;0.371;0.403;0.0;0.597;0.325;1.0;0.215;0.371;0.343
ENST00000451623_90_90;0.645;0.701;0.301;0.481;0.727;0.793;0.142;0.171;0.032;0.215;1.0;0.674;0.622
ENSMUST00000070039_90_90;0.888;0.97;0.434;0.574;0.716;0.773;0.12;0.306;0.198;0.371;0.674;1.0;0.911
ENSMUST00000112487_90_90;0.974;0.888;0.4;0.527;0.792;0.716;0.111;0.281;0.242;0.343;0.622;0.911;1.0
