;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.918;0.918;0.147;0.071;0.245;0.206;1.0;0.964;1.0;0.922;1.0
ENST00000312055_90_90;0.918;1.0;1.0;0.181;0.074;0.147;0.157;0.922;0.88;0.918;1.0;0.918
ENST00000354558_90_90;0.918;1.0;1.0;0.181;0.074;0.147;0.157;0.922;0.88;0.918;1.0;0.918
ENST00000525896_90_90;0.147;0.181;0.181;1.0;0.0;0.0;0.0;0.164;0.108;0.147;0.164;0.147
ENST00000526496_90_90;0.071;0.074;0.074;0.0;1.0;0.0;0.0;0.068;0.073;0.071;0.077;0.071
ENST00000526876_90_90;0.245;0.147;0.147;0.0;0.0;1.0;0.695;0.221;0.26;0.245;0.164;0.245
ENST00000527333_90_90;0.206;0.157;0.157;0.0;0.0;0.695;1.0;0.185;0.218;0.206;0.174;0.206
ENST00000529230_90_90;1.0;0.922;0.922;0.164;0.068;0.221;0.185;1.0;0.961;1.0;0.918;1.0
ENSMUST00000046769_90_90;0.964;0.88;0.88;0.108;0.073;0.26;0.218;0.961;1.0;0.964;0.886;0.964
ENSMUST00000099716_90_90;1.0;0.918;0.918;0.147;0.071;0.245;0.206;1.0;0.964;1.0;0.922;1.0
ENSMUST00000111337_90_90;0.922;1.0;1.0;0.164;0.077;0.164;0.174;0.918;0.886;0.922;1.0;0.922
ENSMUST00000111338_90_90;1.0;0.918;0.918;0.147;0.071;0.245;0.206;1.0;0.964;1.0;0.922;1.0
