;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.999;0.597;0.099;0.46;0.3;0.05;0.054;0.052;0.054;0.032;0.027;0.998;0.46;0.46;0.46;0.587;0.432;0.46;0.46;0.341;0.012;0.194;0.069;0.186
ENST00000319481_90_90;0.999;1.0;0.598;0.098;0.46;0.3;0.051;0.054;0.052;0.054;0.032;0.027;0.998;0.46;0.46;0.46;0.586;0.432;0.46;0.46;0.341;0.012;0.194;0.069;0.185
ENST00000357041_90_90;0.597;0.598;1.0;0.0;0.769;0.502;0.085;0.0;0.0;0.0;0.052;0.044;0.597;0.769;0.769;0.769;0.981;0.722;0.769;0.769;0.0;0.02;0.325;0.0;0.309
ENST00000399441_90_90;0.099;0.098;0.0;1.0;0.0;0.0;0.0;0.39;0.371;0.51;0.0;0.0;0.099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29;0.0;0.0;0.702;0.0
ENST00000399443_90_90;0.46;0.46;0.769;0.0;1.0;0.652;0.11;0.0;0.0;0.0;0.0;0.058;0.46;0.999;0.999;0.999;0.783;0.939;0.999;0.999;0.0;0.026;0.422;0.0;0.173
ENST00000578013_90_90;0.3;0.3;0.502;0.0;0.652;1.0;0.006;0.0;0.0;0.0;0.0;0.0;0.301;0.652;0.652;0.652;0.511;0.695;0.652;0.652;0.0;0.0;0.075;0.0;0.0
ENST00000578055_90_90;0.05;0.051;0.085;0.0;0.11;0.006;1.0;0.0;0.0;0.0;0.0;0.5;0.05;0.109;0.109;0.109;0.086;0.048;0.109;0.109;0.0;0.238;0.245;0.0;0.254
ENST00000578091_90_90;0.054;0.054;0.0;0.39;0.0;0.0;0.0;1.0;0.961;0.709;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.157;0.0;0.0;0.539;0.0
ENST00000579851_90_90;0.052;0.052;0.0;0.371;0.0;0.0;0.0;0.961;1.0;0.676;0.0;0.0;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.151;0.0;0.0;0.54;0.0
ENST00000582645_90_90;0.054;0.054;0.0;0.51;0.0;0.0;0.0;0.709;0.676;1.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.157;0.0;0.0;0.539;0.0
ENST00000584119_90_90;0.032;0.032;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.032;0.0;0.0;0.0;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.027;0.027;0.044;0.0;0.058;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.027;0.058;0.058;0.058;0.045;0.046;0.058;0.058;0.0;0.0;0.137;0.0;0.142
ENSMUST00000074352_90_90;0.998;0.998;0.597;0.099;0.46;0.301;0.05;0.054;0.052;0.054;0.032;0.027;1.0;0.46;0.46;0.46;0.587;0.432;0.46;0.46;0.335;0.012;0.194;0.069;0.184
ENSMUST00000117361_90_90;0.46;0.46;0.769;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000118313_90_90;0.46;0.46;0.769;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000119043_90_90;0.46;0.46;0.769;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000119512_90_90;0.587;0.586;0.981;0.0;0.783;0.511;0.086;0.0;0.0;0.0;0.035;0.045;0.587;0.783;0.783;0.783;1.0;0.735;0.783;0.783;0.0;0.02;0.331;0.0;0.312
ENSMUST00000121774_90_90;0.432;0.432;0.722;0.0;0.939;0.695;0.048;0.0;0.0;0.0;0.0;0.046;0.432;0.938;0.938;0.938;0.735;1.0;0.938;0.938;0.0;0.0;0.361;0.0;0.12
ENSMUST00000121808_90_90;0.46;0.46;0.769;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000121888_90_90;0.46;0.46;0.769;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000122175_90_90;0.341;0.341;0.0;0.29;0.0;0.0;0.0;0.157;0.151;0.157;0.0;0.0;0.335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.195;0.0
ENSMUST00000124570_90_90;0.012;0.012;0.02;0.0;0.026;0.0;0.238;0.0;0.0;0.0;0.0;0.0;0.012;0.026;0.026;0.026;0.02;0.0;0.026;0.026;0.0;1.0;0.061;0.0;0.061
ENSMUST00000143077_90_90;0.194;0.194;0.325;0.0;0.422;0.075;0.245;0.0;0.0;0.0;0.0;0.137;0.194;0.423;0.423;0.423;0.331;0.361;0.423;0.423;0.0;0.061;1.0;0.0;0.324
ENSMUST00000147197_90_90;0.069;0.069;0.0;0.702;0.0;0.0;0.0;0.539;0.54;0.539;0.0;0.0;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.195;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.186;0.185;0.309;0.0;0.173;0.0;0.254;0.0;0.0;0.0;0.0;0.142;0.184;0.171;0.171;0.171;0.312;0.12;0.171;0.171;0.0;0.061;0.324;0.0;1.0
