;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.99;0.429;0.99;0.99;0.376;0.386;0.608;0.121;0.575;0.29;0.061;0.422;0.99;0.503;0.593;0.652;0.614;0.385;0.966;0.423
ENST00000315660_90_90;0.99;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.381;0.972;0.423
ENST00000372382_90_90;0.429;0.431;1.0;0.431;0.431;0.685;0.619;0.074;0.219;0.043;0.0;0.09;0.0;0.431;0.0;0.06;0.628;0.08;0.604;0.427;0.968
ENST00000372383_90_90;0.99;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.381;0.972;0.423
ENST00000372384_90_90;0.99;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.381;0.972;0.423
ENST00000372390_90_90;0.376;0.378;0.685;0.378;0.378;1.0;0.563;0.0;0.329;0.0;0.0;0.0;0.0;0.378;0.0;0.0;0.571;0.0;0.547;0.374;0.662
ENST00000372397_90_90;0.386;0.388;0.619;0.388;0.388;0.563;1.0;0.066;0.18;0.039;0.0;0.33;0.0;0.388;0.0;0.054;0.541;0.072;0.964;0.384;0.604
ENST00000480691_90_90;0.608;0.613;0.074;0.613;0.613;0.0;0.066;1.0;0.0;0.946;0.473;0.077;0.688;0.613;0.821;0.976;0.273;0.987;0.066;0.594;0.073
ENST00000486554_90_90;0.121;0.121;0.219;0.121;0.121;0.329;0.18;0.0;1.0;0.0;0.0;0.0;0.0;0.121;0.0;0.0;0.183;0.0;0.176;0.12;0.213
ENST00000502650_90_90;0.575;0.58;0.043;0.58;0.58;0.0;0.039;0.946;0.0;1.0;0.5;0.045;0.727;0.58;0.868;0.969;0.24;0.933;0.038;0.562;0.042
ENST00000502961_90_90;0.29;0.29;0.0;0.29;0.29;0.0;0.0;0.473;0.0;0.5;1.0;0.0;0.688;0.29;0.576;0.485;0.0;0.466;0.0;0.276;0.0
ENST00000503515_90_90;0.061;0.061;0.09;0.061;0.061;0.0;0.33;0.077;0.0;0.045;0.0;1.0;0.0;0.061;0.0;0.063;0.081;0.085;0.319;0.061;0.089
ENST00000505965_90_90;0.422;0.422;0.0;0.422;0.422;0.0;0.0;0.688;0.0;0.727;0.688;0.0;1.0;0.422;0.838;0.705;0.082;0.678;0.0;0.406;0.0
ENST00000506081_90_90;0.99;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.381;0.972;0.423
ENST00000506724_90_90;0.503;0.503;0.0;0.503;0.503;0.0;0.0;0.821;0.0;0.868;0.576;0.0;0.838;0.503;1.0;0.841;0.163;0.81;0.0;0.486;0.0
ENST00000510887_90_90;0.593;0.598;0.06;0.598;0.598;0.0;0.054;0.976;0.0;0.969;0.485;0.063;0.705;0.598;0.841;1.0;0.258;0.962;0.053;0.58;0.059
ENST00000514426_90_90;0.652;0.66;0.628;0.66;0.66;0.571;0.541;0.273;0.183;0.24;0.0;0.081;0.082;0.66;0.163;0.258;1.0;0.28;0.528;0.654;0.612
ENST00000514897_90_90;0.614;0.619;0.08;0.619;0.619;0.0;0.072;0.987;0.0;0.933;0.466;0.085;0.678;0.619;0.81;0.962;0.28;1.0;0.071;0.6;0.079
ENSMUST00000055738_90_90;0.385;0.381;0.604;0.381;0.381;0.547;0.964;0.066;0.176;0.038;0.0;0.319;0.0;0.381;0.0;0.053;0.528;0.071;1.0;0.399;0.627
ENSMUST00000112996_90_90;0.966;0.972;0.427;0.972;0.972;0.374;0.384;0.594;0.12;0.562;0.276;0.061;0.406;0.972;0.486;0.58;0.654;0.6;0.399;1.0;0.443
ENSMUST00000123898_90_90;0.423;0.423;0.968;0.423;0.423;0.662;0.604;0.073;0.213;0.042;0.0;0.089;0.0;0.423;0.0;0.059;0.612;0.079;0.627;0.443;1.0
