;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.919;0.784;1.0;0.784;1.0;1.0;0.101;1.0;0.918;1.0;0.918
ENSCAFT00000027252_90_90;0.919;1.0;0.697;0.913;0.697;0.913;0.913;0.111;0.913;0.824;0.905;0.824
ENST00000327028_90_90;0.784;0.697;1.0;0.8;1.0;0.8;0.746;0.194;0.8;0.766;0.841;0.766
ENST00000343765_90_90;1.0;0.913;0.8;1.0;0.8;1.0;0.929;0.146;1.0;0.925;1.0;0.925
ENST00000448935_90_90;0.784;0.697;1.0;0.8;1.0;0.8;0.746;0.194;0.8;0.766;0.841;0.766
ENST00000553888_90_90;1.0;0.913;0.8;1.0;0.8;1.0;0.929;0.146;1.0;0.925;1.0;0.925
ENST00000556412_90_90;1.0;0.913;0.746;0.929;0.746;0.929;1.0;0.135;0.929;0.905;0.979;0.905
ENST00000557466_90_90;0.101;0.111;0.194;0.146;0.194;0.146;0.135;1.0;0.146;0.173;0.157;0.173
ENST00000557658_90_90;1.0;0.913;0.8;1.0;0.8;1.0;0.929;0.146;1.0;0.925;1.0;0.925
ENSMUST00000021426_90_90;0.918;0.824;0.766;0.925;0.766;0.925;0.905;0.173;0.925;1.0;0.925;1.0
ENSMUST00000072744_90_90;1.0;0.905;0.841;1.0;0.841;1.0;0.979;0.157;1.0;0.925;1.0;0.925
ENSMUST00000179379_90_90;0.918;0.824;0.766;0.925;0.766;0.925;0.905;0.173;0.925;1.0;0.925;1.0
