;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.73;0.703;0.998;0.972;0.967;0.062;0.308;0.269;0.091;0.257;0.997;0.965;0.972;0.254
ENST00000347464_90_90;0.73;1.0;0.883;0.731;0.712;0.755;0.085;0.236;0.369;0.0;0.295;0.73;0.753;0.711;0.017
ENST00000373525_90_90;0.703;0.883;1.0;0.705;0.686;0.674;0.088;0.26;0.383;0.0;0.361;0.703;0.672;0.685;0.017
ENST00000392017_90_90;0.998;0.731;0.705;1.0;0.973;0.969;0.062;0.308;0.27;0.091;0.257;0.998;0.967;0.972;0.254
ENST00000392018_90_90;0.972;0.712;0.686;0.973;1.0;0.942;0.06;0.3;0.263;0.089;0.285;0.971;0.94;0.996;0.247
ENST00000392020_90_90;0.967;0.755;0.674;0.969;0.942;1.0;0.064;0.304;0.279;0.094;0.227;0.967;0.998;0.942;0.262
ENST00000392021_90_90;0.062;0.085;0.088;0.062;0.06;0.064;1.0;0.201;0.23;0.0;0.212;0.062;0.064;0.06;0.0
ENST00000417017_90_90;0.308;0.236;0.26;0.308;0.3;0.304;0.201;1.0;0.524;0.232;0.534;0.308;0.304;0.3;0.258
ENST00000419681_90_90;0.269;0.369;0.383;0.27;0.263;0.279;0.23;0.524;1.0;0.0;0.708;0.27;0.279;0.263;0.032
ENST00000431917_90_90;0.091;0.0;0.0;0.091;0.089;0.094;0.0;0.232;0.0;1.0;0.0;0.091;0.094;0.089;0.359
ENST00000444735_90_90;0.257;0.295;0.361;0.257;0.285;0.227;0.212;0.534;0.708;0.0;1.0;0.257;0.227;0.283;0.031
ENSMUST00000027512_90_90;0.997;0.73;0.703;0.998;0.971;0.967;0.062;0.308;0.27;0.091;0.257;1.0;0.969;0.974;0.254
ENSMUST00000113186_90_90;0.965;0.753;0.672;0.967;0.94;0.998;0.064;0.304;0.279;0.094;0.227;0.969;1.0;0.944;0.262
ENSMUST00000113190_90_90;0.972;0.711;0.685;0.972;0.996;0.942;0.06;0.3;0.263;0.089;0.283;0.974;0.944;1.0;0.247
ENSMUST00000144047_90_90;0.254;0.017;0.017;0.254;0.247;0.262;0.0;0.258;0.032;0.359;0.031;0.254;0.262;0.247;1.0
