;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.826;0.913;0.957;0.261;0.957;0.13;0.957;0.304;0.87;0.773;0.773;0.818;0.864;0.955;0.227;0.227;0.818;0.091
ENST00000333957_90_90;0.826;1.0;0.792;0.87;0.261;0.731;0.095;0.87;0.4;0.792;0.9;0.9;1.0;0.95;0.72;0.227;0.263;1.0;0.105
ENST00000396028_90_90;0.913;0.792;1.0;0.917;0.231;0.92;0.13;0.917;0.292;0.917;0.864;0.864;0.783;0.826;0.917;0.2;0.227;0.783;0.091
ENST00000446597_90_90;0.957;0.87;0.917;1.0;0.231;0.846;0.13;1.0;0.348;0.84;0.783;0.783;0.864;0.909;0.84;0.2;0.227;0.864;0.091
ENST00000535555_90_90;0.261;0.261;0.231;0.231;1.0;0.308;0.0;0.231;0.308;0.28;0.273;0.273;0.273;0.261;0.32;0.889;0.0;0.273;0.0
ENST00000536386_90_90;0.957;0.731;0.92;0.846;0.308;1.0;0.12;0.846;0.269;0.846;0.792;0.792;0.72;0.76;1.0;0.28;0.208;0.72;0.083
ENST00000539615_90_90;0.13;0.095;0.13;0.13;0.0;0.12;1.0;0.13;0.0;0.13;0.1;0.1;0.1;0.15;0.125;0.0;0.0;0.1;0.0
ENST00000542676_90_90;0.957;0.87;0.917;1.0;0.231;0.846;0.13;1.0;0.348;0.84;0.783;0.783;0.864;0.909;0.84;0.2;0.227;0.864;0.091
ENST00000542683_90_90;0.304;0.4;0.292;0.348;0.308;0.269;0.0;0.348;1.0;0.292;0.35;0.35;0.421;0.4;0.28;0.231;0.083;0.421;0.0
ENST00000545552_90_90;0.87;0.792;0.917;0.84;0.28;0.846;0.13;0.84;0.292;1.0;0.864;0.864;0.783;0.826;0.84;0.25;0.227;0.783;0.091
ENSMUST00000087485_90_90;0.773;0.9;0.864;0.783;0.273;0.792;0.1;0.783;0.35;0.864;1.0;1.0;0.9;0.857;0.792;0.227;0.263;0.9;0.105
ENSMUST00000111758_90_90;0.773;0.9;0.864;0.783;0.273;0.792;0.1;0.783;0.35;0.864;1.0;1.0;0.9;0.857;0.792;0.227;0.263;0.9;0.105
ENSMUST00000171349_90_90;0.818;1.0;0.783;0.864;0.273;0.72;0.1;0.864;0.421;0.783;0.9;0.9;1.0;0.95;0.72;0.227;0.263;1.0;0.105
ENSMUST00000203187_90_90;0.864;0.95;0.826;0.909;0.261;0.76;0.15;0.909;0.4;0.826;0.857;0.857;0.95;1.0;0.76;0.217;0.25;0.95;0.1
ENSMUST00000203673_90_90;0.955;0.72;0.917;0.84;0.32;1.0;0.125;0.84;0.28;0.84;0.792;0.792;0.72;0.76;1.0;0.28;0.208;0.72;0.083
ENSMUST00000204043_90_90;0.227;0.227;0.2;0.2;0.889;0.28;0.0;0.2;0.231;0.25;0.227;0.227;0.227;0.217;0.28;1.0;0.0;0.227;0.0
ENSMUST00000204140_90_90;0.227;0.263;0.227;0.227;0.0;0.208;0.0;0.227;0.083;0.227;0.263;0.263;0.263;0.25;0.208;0.0;1.0;0.263;0.4
ENSMUST00000204655_90_90;0.818;1.0;0.783;0.864;0.273;0.72;0.1;0.864;0.421;0.783;0.9;0.9;1.0;0.95;0.72;0.227;0.263;1.0;0.105
ENSMUST00000205119_90_90;0.091;0.105;0.091;0.091;0.0;0.083;0.0;0.091;0.0;0.091;0.105;0.105;0.105;0.1;0.083;0.0;0.4;0.105;1.0
