;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.865;0.909;0.909;0.939;0.788;0.939;0.697;0.758;0.909;0.97;0.788;0.121;0.242;0.455;0.182;0.788;0.667;0.969;0.938;0.938;0.75;0.031;0.719;0.719
ENSCAFT00000035671_90_90;0.865;1.0;0.818;0.818;0.848;0.75;0.848;0.656;0.719;0.818;0.879;0.75;0.097;0.226;0.406;0.161;0.75;0.625;0.875;0.844;0.844;0.71;0.034;0.677;0.677
ENST00000353331_90_90;0.909;0.818;1.0;1.0;0.97;0.714;0.97;0.697;0.735;0.882;0.941;0.714;0.125;0.25;0.485;0.152;0.714;0.647;0.938;0.968;0.968;0.697;0.065;0.719;0.8
ENST00000392348_90_90;0.909;0.818;1.0;1.0;0.97;0.714;0.97;0.697;0.735;0.882;0.941;0.714;0.125;0.25;0.485;0.152;0.714;0.647;0.938;0.968;0.968;0.697;0.065;0.719;0.8
ENST00000527536_90_90;0.939;0.848;0.97;0.97;1.0;0.743;0.941;0.727;0.714;0.912;0.971;0.743;0.121;0.242;0.471;0.147;0.743;0.676;0.969;1.0;0.938;0.727;0.062;0.697;0.774
ENST00000527613_90_90;0.788;0.75;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.706;0.727;0.676;1.0;0.074;0.962;0.515
ENST00000527759_90_90;0.939;0.848;0.97;0.97;0.941;0.694;1.0;0.676;0.714;0.912;0.971;0.694;0.121;0.242;0.471;0.182;0.694;0.629;0.969;0.938;1.0;0.676;0.062;0.697;0.774
ENST00000529826_90_90;0.697;0.656;0.697;0.697;0.727;0.857;0.676;1.0;0.821;0.647;0.706;0.857;0.0;0.333;0.64;0.034;0.857;0.846;0.688;0.71;0.656;0.846;0.087;0.808;0.484
ENST00000530429_90_90;0.758;0.719;0.735;0.735;0.714;0.964;0.714;0.821;1.0;0.639;0.694;0.964;0.0;0.296;0.571;0.065;0.964;0.759;0.676;0.697;0.697;0.962;0.077;1.0;0.531
ENST00000530767_90_90;0.909;0.818;0.882;0.882;0.912;0.667;0.912;0.647;0.639;1.0;0.941;0.667;0.125;0.212;0.485;0.188;0.667;0.6;0.938;0.906;0.906;0.647;0.065;0.618;0.688
