;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.374;0.275;0.395;0.369;0.353;0.342;0.625;0.743;0.625;0.625;0.743
ENST00000422393_90_90;0.374;1.0;0.538;0.91;0.653;0.905;0.855;0.521;0.541;0.521;0.458;0.447
ENST00000433491_90_90;0.275;0.538;1.0;0.577;0.784;0.494;0.479;0.265;0.374;0.265;0.217;0.275
ENST00000434483_90_90;0.395;0.91;0.577;1.0;0.705;0.825;0.782;0.472;0.59;0.472;0.41;0.48
ENST00000443502_90_90;0.369;0.653;0.784;0.705;1.0;0.597;0.575;0.327;0.481;0.327;0.275;0.369
ENST00000455268_90_90;0.353;0.905;0.494;0.825;0.597;1.0;0.944;0.58;0.499;0.58;0.512;0.417
ENST00000494475_90_90;0.342;0.855;0.479;0.782;0.575;0.944;1.0;0.621;0.471;0.621;0.55;0.399
ENST00000612423_90_90;0.625;0.521;0.265;0.472;0.327;0.58;0.621;1.0;0.687;1.0;0.918;0.625
ENST00000619236_90_90;0.743;0.541;0.374;0.59;0.481;0.499;0.471;0.687;1.0;0.687;0.625;0.851
ENST00000621218_90_90;0.625;0.521;0.265;0.472;0.327;0.58;0.621;1.0;0.687;1.0;0.918;0.625
ENSMUST00000033800_90_90;0.625;0.458;0.217;0.41;0.275;0.512;0.55;0.918;0.625;0.918;1.0;0.687
ENSMUST00000113085_90_90;0.743;0.447;0.275;0.48;0.369;0.417;0.399;0.625;0.851;0.625;0.687;1.0
