;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.987;0.975;0.987;0.987;0.987;0.691;0.847;0.691;0.125;0.128;0.128;0.067;0.067;0.138;0.127;0.132
transcript7_ENSMUGG00000013649;0.987;1.0;0.987;1.0;1.0;1.0;0.683;0.838;0.683;0.126;0.13;0.129;0.068;0.068;0.139;0.129;0.134
transcript7_ENSMUGG00000013592;0.975;0.987;1.0;0.987;0.987;0.987;0.673;0.827;0.673;0.125;0.128;0.13;0.068;0.067;0.138;0.127;0.132
transcript7_ENSCGRG00015005362;0.987;1.0;0.987;1.0;1.0;1.0;0.683;0.838;0.683;0.126;0.13;0.129;0.068;0.068;0.139;0.129;0.134
transcript7_ENSCGRG00000018457;0.987;1.0;0.987;1.0;1.0;1.0;0.683;0.838;0.683;0.126;0.13;0.129;0.068;0.068;0.139;0.129;0.134
transcript7_ENSPEMG00000024651;0.987;1.0;0.987;1.0;1.0;1.0;0.683;0.838;0.683;0.126;0.13;0.129;0.068;0.068;0.139;0.129;0.134
transcript57_MGP-CAROLIEiJ-G0020234;0.691;0.683;0.673;0.683;0.683;0.683;1.0;0.844;1.0;0.124;0.128;0.127;0.042;0.042;0.109;0.102;0.105
transcript58_MGP-CAROLIEiJ-G0020234;0.847;0.838;0.827;0.838;0.838;0.838;0.844;1.0;0.844;0.147;0.151;0.151;0.066;0.066;0.134;0.125;0.129
transcript59_MGP-CAROLIEiJ-G0020234;0.691;0.683;0.673;0.683;0.683;0.683;1.0;0.844;1.0;0.124;0.128;0.127;0.042;0.042;0.109;0.102;0.105
transcript28_ENSMUGG00000013649;0.125;0.126;0.125;0.126;0.126;0.126;0.124;0.147;0.124;1.0;0.972;0.961;0.878;0.887;0.906;0.978;0.943
transcript42_ENSMUGG00000013649;0.128;0.13;0.128;0.13;0.13;0.13;0.128;0.151;0.128;0.972;1.0;0.989;0.903;0.913;0.878;0.949;0.915
transcript42_ENSMUGG00000013592;0.128;0.129;0.13;0.129;0.129;0.129;0.127;0.151;0.127;0.961;0.989;1.0;0.913;0.904;0.87;0.939;0.904
transcript52_ENSMUGG00000013592;0.067;0.068;0.068;0.068;0.068;0.068;0.042;0.066;0.042;0.878;0.903;0.913;1.0;0.989;0.827;0.898;0.863
transcript52_ENSCGRG00015005362;0.067;0.068;0.067;0.068;0.068;0.068;0.042;0.066;0.042;0.887;0.913;0.904;0.989;1.0;0.834;0.908;0.873
transcript53_ENSCGRG00015005362;0.138;0.139;0.138;0.139;0.139;0.139;0.109;0.134;0.109;0.906;0.878;0.87;0.827;0.834;1.0;0.927;0.892
transcript54_ENSCGRG00015005362;0.127;0.129;0.127;0.129;0.129;0.129;0.102;0.125;0.102;0.978;0.949;0.939;0.898;0.908;0.927;1.0;0.965
transcript55_ENSCGRG00015005362;0.132;0.134;0.132;0.134;0.134;0.134;0.105;0.129;0.105;0.943;0.915;0.904;0.863;0.873;0.892;0.965;1.0
