;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.427;0.449;0.833;0.681;0.921;0.465;0.447;0.916;0.828;0.757;0.675
ENST00000261210_90_90;0.427;1.0;0.25;0.501;0.594;0.459;0.358;0.251;0.407;0.443;0.477;0.523
ENST00000266732_90_90;0.449;0.25;1.0;0.205;0.221;0.196;0.114;1.0;0.196;0.204;0.212;0.221
ENST00000343315_90_90;0.833;0.501;0.205;1.0;0.833;0.912;0.574;0.205;0.79;0.861;0.789;0.705
ENST00000393053_90_90;0.681;0.594;0.221;0.833;1.0;0.76;0.525;0.222;0.646;0.705;0.76;0.836
ENST00000556029_90_90;0.921;0.459;0.196;0.912;0.76;1.0;0.523;0.197;0.873;0.79;0.723;0.646
ENST00000556678_90_90;0.465;0.358;0.114;0.574;0.525;0.523;1.0;0.115;0.427;0.466;0.502;0.411
ENSMUST00000020123_90_90;0.447;0.251;1.0;0.205;0.222;0.197;0.115;1.0;0.196;0.204;0.212;0.221
ENSMUST00000072239_90_90;0.916;0.407;0.196;0.79;0.646;0.873;0.427;0.196;1.0;0.912;0.841;0.759
ENSMUST00000092219_90_90;0.828;0.443;0.204;0.861;0.705;0.79;0.466;0.204;0.912;1.0;0.922;0.833
ENSMUST00000099355_90_90;0.757;0.477;0.212;0.789;0.76;0.723;0.502;0.212;0.841;0.922;1.0;0.903
ENSMUST00000105293_90_90;0.675;0.523;0.221;0.705;0.836;0.646;0.411;0.221;0.759;0.833;0.903;1.0
