;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.879;0.097;0.251;0.323;0.333;0.353;0.42;0.0;0.115;0.129;0.0;0.0;0.0;0.125;0.145;0.126
ENSCAFT00000048830_90_90;0.879;1.0;0.107;0.267;0.342;0.353;0.376;0.464;0.0;0.121;0.137;0.0;0.0;0.0;0.132;0.154;0.133
ENST00000368686_90_90;0.097;0.107;1.0;0.331;0.295;0.272;0.317;0.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.251;0.267;0.331;1.0;0.766;0.783;0.666;0.365;0.139;0.208;0.237;0.161;0.157;0.139;0.231;0.09;0.077
ENST00000368690_90_90;0.323;0.342;0.295;0.766;1.0;0.976;0.86;0.561;0.119;0.197;0.221;0.135;0.133;0.119;0.216;0.092;0.082
ENST00000368694_90_90;0.333;0.353;0.272;0.783;0.976;1.0;0.883;0.582;0.12;0.201;0.226;0.136;0.135;0.12;0.221;0.096;0.085
ENST00000403433_90_90;0.353;0.376;0.317;0.666;0.86;0.883;1.0;0.638;0.133;0.216;0.245;0.152;0.15;0.133;0.24;0.102;0.089
ENST00000614256_90_90;0.42;0.464;0.186;0.365;0.561;0.582;0.638;1.0;0.025;0.119;0.135;0.028;0.027;0.025;0.131;0.123;0.103
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.139;0.119;0.12;0.133;0.025;1.0;0.736;0.534;0.708;0.772;1.0;0.572;0.305;0.423
ENSMUST00000049937_90_90;0.115;0.121;0.0;0.208;0.197;0.201;0.216;0.119;0.736;1.0;0.798;0.534;0.572;0.736;0.836;0.57;0.668
ENSMUST00000076639_90_90;0.129;0.137;0.0;0.237;0.221;0.226;0.245;0.135;0.534;0.798;1.0;0.665;0.644;0.534;0.956;0.635;0.577
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.161;0.135;0.136;0.152;0.028;0.708;0.534;0.665;1.0;0.913;0.708;0.644;0.324;0.315
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.157;0.133;0.135;0.15;0.027;0.772;0.572;0.644;0.913;1.0;0.772;0.689;0.368;0.353
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.139;0.119;0.12;0.133;0.025;1.0;0.736;0.534;0.708;0.772;1.0;0.572;0.305;0.423
ENSMUST00000107346_90_90;0.125;0.132;0.0;0.231;0.216;0.221;0.24;0.131;0.572;0.836;0.956;0.644;0.689;0.572;1.0;0.679;0.615
ENSMUST00000131868_90_90;0.145;0.154;0.0;0.09;0.092;0.096;0.102;0.123;0.305;0.57;0.635;0.324;0.368;0.305;0.679;1.0;0.692
ENSMUST00000146740_90_90;0.126;0.133;0.0;0.077;0.082;0.085;0.089;0.103;0.423;0.668;0.577;0.315;0.353;0.423;0.615;0.692;1.0
