;transcript49_ENSCGRG00015005362;transcript44_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript22_ENSCGRG00001010245;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSSTOG00000019743;transcript22_ENSNGAG00000018584
transcript49_ENSCGRG00015005362;1.0;1.0;0.888;0.888;0.665;0.665;0.718;0.736;0.736;0.736;0.503;0.651;0.736;0.735
transcript44_ENSCGRG00000018457;1.0;1.0;0.888;0.888;0.607;0.607;0.65;0.667;0.667;0.667;0.46;0.595;0.667;0.661
transcript57_ENSCGRG00000018457;0.888;0.888;1.0;1.0;0.641;0.641;0.604;0.593;0.593;0.593;0.498;0.628;0.593;0.575
transcript58_ENSCGRG00000018457;0.888;0.888;1.0;1.0;0.641;0.641;0.604;0.593;0.593;0.593;0.498;0.628;0.593;0.575
transcript50_ENSCGRG00015005362;0.665;0.607;0.641;0.641;1.0;1.0;0.948;0.932;0.932;0.932;0.842;0.987;0.932;0.927
transcript50_ENSCGRG00000018457;0.665;0.607;0.641;0.641;1.0;1.0;0.942;0.925;0.925;0.925;0.842;0.987;0.925;0.915
transcript8_ENSCGRG00000018457;0.718;0.65;0.604;0.604;0.948;0.942;1.0;0.982;0.982;0.982;0.793;0.929;0.982;0.985
transcript45_ENSCGRG00000018457;0.736;0.667;0.593;0.593;0.932;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;1.0
transcript45_ENSCGRG00001010245;0.736;0.667;0.593;0.593;0.932;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;1.0
transcript22_ENSCGRG00001010245;0.736;0.667;0.593;0.593;0.932;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;1.0
transcript59_ENSCGRG00000018457;0.503;0.46;0.498;0.498;0.842;0.842;0.793;0.78;0.78;0.78;1.0;0.853;0.78;0.77
transcript60_ENSCGRG00000018457;0.651;0.595;0.628;0.628;0.987;0.987;0.929;0.913;0.913;0.913;0.853;1.0;0.913;0.895
transcript22_ENSSTOG00000019743;0.736;0.667;0.593;0.593;0.932;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;1.0
transcript22_ENSNGAG00000018584;0.735;0.661;0.575;0.575;0.927;0.915;0.985;1.0;1.0;1.0;0.77;0.895;1.0;1.0
