;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;1.0;1.0;0.393;0.952;1.0;0.167;1.0;0.393;1.0;1.0;0.974;0.605;0.658;0.395;0.842
ENSCAFT00000021179_90_90;1.0;1.0;1.0;0.39;0.964;1.0;0.071;1.0;0.39;1.0;1.0;0.963;0.593;0.63;0.407;0.926
ENST00000359842_90_90;1.0;1.0;1.0;0.39;0.964;1.0;0.071;1.0;0.39;1.0;1.0;0.963;0.593;0.63;0.407;0.926
ENST00000619224_90_90;0.393;0.39;0.39;1.0;0.357;0.393;0.0;0.39;1.0;0.39;0.39;0.37;0.5;0.556;0.222;0.333
ENST00000374680_90_90;0.952;0.964;0.964;0.357;1.0;0.953;0.195;0.964;0.357;0.964;0.964;0.921;0.639;0.605;0.417;0.889
ENST00000374685_90_90;1.0;1.0;1.0;0.393;0.953;1.0;0.186;1.0;0.393;1.0;1.0;0.974;0.605;0.658;0.395;0.842
ENST00000483281_90_90;0.167;0.071;0.071;0.0;0.195;0.186;1.0;0.071;0.0;0.071;0.071;0.162;0.0;0.0;0.0;0.086
ENSMUST00000015987_90_90;1.0;1.0;1.0;0.39;0.964;1.0;0.071;1.0;0.39;1.0;1.0;0.963;0.593;0.63;0.407;0.926
ENSMUST00000111380_90_90;0.393;0.39;0.39;1.0;0.357;0.393;0.0;0.39;1.0;0.39;0.39;0.37;0.5;0.556;0.222;0.333
ENSMUST00000111384_90_90;1.0;1.0;1.0;0.39;0.964;1.0;0.071;1.0;0.39;1.0;1.0;0.963;0.593;0.63;0.407;0.926
ENSMUST00000111386_90_90;1.0;1.0;1.0;0.39;0.964;1.0;0.071;1.0;0.39;1.0;1.0;0.963;0.593;0.63;0.407;0.926
ENSMUST00000044858_90_90;0.974;0.963;0.963;0.37;0.921;0.974;0.162;0.963;0.37;0.963;0.963;1.0;0.6;0.65;0.366;0.875
ENSMUST00000116612_90_90;0.605;0.593;0.593;0.5;0.639;0.605;0.0;0.593;0.5;0.593;0.593;0.6;1.0;0.923;0.6;0.686
ENSMUST00000173354_90_90;0.658;0.63;0.63;0.556;0.605;0.658;0.0;0.63;0.556;0.63;0.63;0.65;0.923;1.0;0.556;0.649
ENSMUST00000173554_90_90;0.395;0.407;0.407;0.222;0.417;0.395;0.0;0.407;0.222;0.407;0.407;0.366;0.6;0.556;1.0;0.417
ENSMUST00000174299_90_90;0.842;0.926;0.926;0.333;0.889;0.842;0.086;0.926;0.333;0.926;0.926;0.875;0.686;0.649;0.417;1.0
