;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.9;0.5;0.1;0.6;0.3;0.1;0.3;0.3;0.9;0.1;0.4;0.2;0.4;0.5;1.0;1.0;0.286;0.429;0.714;0.286;0.143
ENST00000262493_90_90;0.9;1.0;0.737;0.45;0.263;0.211;0.222;0.158;0.158;1.0;0.167;0.5;0.105;0.333;0.389;0.9;0.9;0.2;0.3;0.5;0.3;0.091
ENST00000262494_90_90;0.5;0.737;1.0;0.444;0.312;0.053;0.188;0.188;0.188;0.737;0.2;0.263;0.125;0.105;0.467;0.5;0.5;0.333;0.5;0.833;0.0;0.0
ENST00000562316_90_90;0.1;0.45;0.444;1.0;0.0;0.231;0.25;0.0;0.0;0.45;0.077;0.429;0.0;0.214;0.125;0.083;0.083;0.0;0.0;0.0;0.4;1.0
ENST00000563661_90_90;0.6;0.263;0.312;0.0;1.0;0.0;0.0;0.429;0.429;0.263;0.125;0.0;0.286;0.0;0.625;0.6;0.6;0.5;0.667;1.0;0.0;0.0
ENST00000564727_90_90;0.3;0.211;0.053;0.231;0.0;1.0;0.286;0.0;0.0;0.211;0.0;0.4;0.0;0.571;0.0;0.273;0.273;0.0;0.0;0.0;1.0;0.4
ENST00000568375_90_90;0.1;0.222;0.188;0.25;0.0;0.286;1.0;0.0;0.0;0.222;0.0;0.444;0.0;0.429;0.0;0.1;0.1;0.0;0.0;0.0;0.25;0.0
ENST00000569295_90_90;0.3;0.158;0.188;0.0;0.429;0.0;0.0;1.0;0.6;0.158;0.0;0.0;0.4;0.0;0.375;0.3;0.3;0.0;0.167;0.5;0.0;0.0
ENST00000570235_90_90;0.3;0.158;0.188;0.0;0.429;0.0;0.0;0.6;1.0;0.158;0.0;0.0;0.4;0.0;0.375;0.3;0.3;0.0;0.167;0.5;0.0;0.0
ENST00000638705_90_90;0.9;1.0;0.737;0.45;0.263;0.211;0.222;0.158;0.158;1.0;0.167;0.5;0.105;0.333;0.389;0.9;0.9;0.2;0.3;0.5;0.3;0.091
ENST00000639268_90_90;0.1;0.167;0.2;0.077;0.125;0.0;0.0;0.0;0.0;0.167;1.0;0.0;0.0;0.0;0.111;0.1;0.1;0.333;0.25;0.167;0.0;0.0
ENST00000639341_90_90;0.4;0.5;0.263;0.429;0.0;0.4;0.444;0.0;0.0;0.5;0.0;1.0;0.0;0.667;0.067;0.4;0.4;0.0;0.0;0.0;0.6;0.167
ENST00000639770_90_90;0.2;0.105;0.125;0.0;0.286;0.0;0.0;0.4;0.4;0.105;0.0;0.0;1.0;0.0;0.25;0.2;0.2;0.0;0.2;0.333;0.0;0.0
ENST00000640469_90_90;0.4;0.333;0.105;0.214;0.0;0.571;0.429;0.0;0.0;0.333;0.0;0.667;0.0;1.0;0.0;0.4;0.4;0.0;0.0;0.0;0.6;0.167
ENST00000640893_90_90;0.5;0.389;0.467;0.125;0.625;0.0;0.0;0.375;0.375;0.389;0.111;0.067;0.25;0.0;1.0;0.5;0.5;0.333;0.5;0.833;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.9;0.5;0.083;0.6;0.273;0.1;0.3;0.3;0.9;0.1;0.4;0.2;0.4;0.5;1.0;1.0;0.286;0.429;0.667;0.267;0.125
ENSMUST00000125716_90_90;1.0;0.9;0.5;0.083;0.6;0.273;0.1;0.3;0.3;0.9;0.1;0.4;0.2;0.4;0.5;1.0;1.0;0.286;0.429;0.667;0.267;0.125
ENSMUST00000127900_90_90;0.286;0.2;0.333;0.0;0.5;0.0;0.0;0.0;0.0;0.2;0.333;0.0;0.0;0.0;0.333;0.286;0.286;1.0;0.667;0.364;0.0;0.0
ENSMUST00000137202_90_90;0.429;0.3;0.5;0.0;0.667;0.0;0.0;0.167;0.167;0.3;0.25;0.0;0.2;0.0;0.5;0.429;0.429;0.667;1.0;0.545;0.0;0.0
ENSMUST00000138659_90_90;0.714;0.5;0.833;0.0;1.0;0.0;0.0;0.5;0.5;0.5;0.167;0.0;0.333;0.0;0.833;0.667;0.667;0.364;0.545;1.0;0.067;0.071
ENSMUST00000142466_90_90;0.286;0.3;0.0;0.4;0.0;1.0;0.25;0.0;0.0;0.3;0.0;0.6;0.0;0.6;0.0;0.267;0.267;0.0;0.0;0.067;1.0;0.5
ENSMUST00000149530_90_90;0.143;0.091;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.091;0.0;0.167;0.0;0.167;0.0;0.125;0.125;0.0;0.0;0.071;0.5;1.0
