;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.741;0.741;0.741;0.955;0.955;0.741;0.955;0.955;0.955;0.782;0.781
transcript7_ENSMUNG00000007775;0.741;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript7_ENSMUNG00000002377;0.741;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript7_ENSMUNG00000002391;0.741;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript19_ENSMUNG00000007775;0.955;0.776;0.776;0.776;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.766
transcript19_ENSMUNG00000002377;0.955;0.776;0.776;0.776;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.766
transcript22_ENSMUNG00000007775;0.741;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript23_ENSMUNG00000007775;0.955;0.776;0.776;0.776;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.766
transcript27_ENSMUNG00000002377;0.955;0.776;0.776;0.776;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.766
transcript28_ENSMUNG00000002377;0.955;0.776;0.776;0.776;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.766
transcript3_ENSPNYG00000024266;0.782;0.596;0.596;0.596;0.768;0.768;0.596;0.768;0.768;0.768;1.0;0.998
transcript3_ENSXMAG00000026005;0.781;0.595;0.595;0.595;0.766;0.766;0.595;0.766;0.766;0.766;0.998;1.0
