;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.304;0.36;0.346;0.333;0.111;0.375;0.115;0.238;0.304;0.231;0.381;0.417;0.235;0.476;0.381;0.455
ENSCAFT00000023892_90_90;0.304;1.0;0.818;0.519;0.1;0.13;0.56;0.346;0.391;0.565;0.357;0.667;0.6;0.174;0.609;0.458;0.652
ENSCAFT00000043832_90_90;0.36;0.818;1.0;0.667;0.182;0.111;0.593;0.444;0.44;0.481;0.4;0.56;0.76;0.148;0.64;0.56;0.68
ENST00000292476_90_90;0.346;0.519;0.667;1.0;0.174;0.192;0.913;0.538;0.609;0.783;0.593;0.6;0.8;0.185;0.68;0.6;0.72
ENST00000412686_90_90;0.333;0.1;0.182;0.174;1.0;0.0;0.19;0.105;0.286;0.1;0.143;0.105;0.182;0.0;0.211;0.235;0.2
ENST00000430038_90_90;0.111;0.13;0.111;0.192;0.0;1.0;0.208;0.0;0.0;0.238;0.077;0.19;0.154;0.545;0.174;0.136;0.167
ENST00000436336_90_90;0.375;0.56;0.593;0.913;0.19;0.208;1.0;0.462;0.667;0.857;0.64;0.652;0.72;0.2;0.739;0.583;0.783
ENST00000440514_90_90;0.115;0.346;0.444;0.538;0.105;0.0;0.462;1.0;0.632;0.4;0.48;0.36;0.5;0.0;0.385;0.417;0.423
ENST00000441580_90_90;0.238;0.391;0.44;0.609;0.286;0.0;0.667;0.632;1.0;0.524;0.619;0.409;0.5;0.0;0.5;0.476;0.545
ENST00000451876_90_90;0.304;0.565;0.481;0.783;0.1;0.238;0.857;0.4;0.524;1.0;0.52;0.75;0.6;0.227;0.682;0.458;0.652
ENST00000452047_90_90;0.231;0.357;0.4;0.593;0.143;0.077;0.64;0.48;0.619;0.52;1.0;0.48;0.556;0.115;0.56;0.542;0.6
ENSMUST00000070487_90_90;0.381;0.667;0.56;0.6;0.105;0.19;0.652;0.36;0.409;0.75;0.48;1.0;0.773;0.3;0.895;0.619;0.85
ENSMUST00000160422_90_90;0.417;0.6;0.76;0.8;0.182;0.154;0.72;0.5;0.5;0.6;0.556;0.773;1.0;0.24;0.864;0.773;0.909
ENSMUST00000160574_90_90;0.235;0.174;0.148;0.185;0.0;0.545;0.2;0.0;0.0;0.227;0.115;0.3;0.24;1.0;0.273;0.182;0.261
ENSMUST00000160629_90_90;0.476;0.609;0.64;0.68;0.211;0.174;0.739;0.385;0.5;0.682;0.56;0.895;0.864;0.273;1.0;0.714;0.95
ENSMUST00000160762_90_90;0.381;0.458;0.56;0.6;0.235;0.136;0.583;0.417;0.476;0.458;0.542;0.619;0.773;0.182;0.714;1.0;0.762
ENSMUST00000162244_90_90;0.455;0.652;0.68;0.72;0.2;0.167;0.783;0.423;0.545;0.652;0.6;0.85;0.909;0.261;0.95;0.762;1.0
