;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.85;0.534;0.528;0.308;0.564;0.564;0.572;0.593;0.593;0.493;0.493;0.274;0.28;0.299;0.299;0.316;0.551;0.285;0.29;0.327;0.327;0.321;0.33;0.312;0.261;0.261;0.243;0.3;0.294;0.247
transcript7_ENSMUSG00000054036;0.85;1.0;0.576;0.532;0.329;0.522;0.522;0.528;0.592;0.592;0.49;0.49;0.294;0.3;0.308;0.308;0.325;0.613;0.313;0.335;0.331;0.331;0.325;0.347;0.33;0.292;0.292;0.274;0.305;0.315;0.263
transcript43_MGP-CAROLIEiJ-G0020234;0.534;0.576;1.0;0.488;0.322;0.493;0.493;0.499;0.917;0.917;0.717;0.717;0.421;0.398;0.329;0.329;0.346;0.919;0.403;0.409;0.299;0.299;0.292;0.331;0.315;0.393;0.393;0.361;0.303;0.308;0.377
transcript26_MGP-PahariEiJ-G0020237;0.528;0.532;0.488;1.0;0.228;0.943;0.943;0.931;0.502;0.502;0.655;0.655;0.335;0.319;0.269;0.269;0.231;0.516;0.351;0.356;0.581;0.581;0.574;0.249;0.287;0.333;0.333;0.396;0.54;0.27;0.299
transcript33_ENSRNOG00000031503;0.308;0.329;0.322;0.228;1.0;0.234;0.234;0.236;0.337;0.337;0.295;0.295;0.67;0.685;0.742;0.742;0.792;0.336;0.668;0.656;0.51;0.51;0.514;0.811;0.762;0.826;0.826;0.766;0.635;0.921;0.71
transcript26_ENSMSIG00000000513;0.564;0.522;0.493;0.943;0.234;1.0;1.0;0.988;0.536;0.536;0.691;0.691;0.347;0.331;0.281;0.281;0.243;0.507;0.356;0.361;0.592;0.592;0.586;0.255;0.292;0.339;0.339;0.401;0.554;0.276;0.313
transcript47_ENSMSIG00000000513;0.564;0.522;0.493;0.943;0.234;1.0;1.0;0.988;0.536;0.536;0.691;0.691;0.347;0.331;0.281;0.281;0.243;0.507;0.356;0.361;0.592;0.592;0.586;0.255;0.292;0.339;0.339;0.401;0.554;0.276;0.313
transcript49_ENSMSIG00000000513;0.572;0.528;0.499;0.931;0.236;0.988;0.988;1.0;0.543;0.543;0.679;0.679;0.34;0.324;0.274;0.274;0.245;0.513;0.349;0.354;0.586;0.586;0.579;0.257;0.285;0.331;0.331;0.394;0.546;0.268;0.305
transcript41_ENSMSIG00000000513;0.593;0.592;0.917;0.502;0.337;0.536;0.536;0.543;1.0;1.0;0.788;0.788;0.413;0.391;0.323;0.323;0.34;0.935;0.424;0.43;0.315;0.315;0.309;0.353;0.336;0.407;0.407;0.375;0.315;0.323;0.379
transcript43_ENSMSIG00000000513;0.593;0.592;0.917;0.502;0.337;0.536;0.536;0.543;1.0;1.0;0.788;0.788;0.413;0.391;0.323;0.323;0.34;0.935;0.424;0.43;0.315;0.315;0.309;0.353;0.336;0.407;0.407;0.375;0.315;0.323;0.379
transcript46_ENSMSIG00000000513;0.493;0.49;0.717;0.655;0.295;0.691;0.691;0.679;0.788;0.788;1.0;1.0;0.426;0.406;0.346;0.346;0.3;0.734;0.436;0.442;0.412;0.412;0.405;0.313;0.358;0.423;0.423;0.499;0.419;0.348;0.396
