;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.764;0.75;0.757;0.724;0.711;0.446;0.716;0.676;0.911;0.921;0.378;0.973
transcript21_ENSMUNG00000007775;0.973;1.0;0.973;0.986;0.946;0.405;0.973;0.961;0.973;0.743;0.776;0.784;0.75;0.737;0.473;0.743;0.703;0.937;0.947;0.405;0.947
transcript23_ENSMUNG00000007775;0.946;0.973;1.0;0.959;0.972;0.417;0.946;0.934;0.946;0.764;0.797;0.806;0.77;0.757;0.486;0.764;0.722;0.911;0.947;0.417;0.921
transcript25_ENSMUNG00000007775;0.959;0.986;0.959;1.0;0.932;0.392;0.959;0.947;0.959;0.73;0.763;0.77;0.737;0.724;0.459;0.73;0.689;0.924;0.934;0.392;0.934
transcript26_ENSMUNG00000007775;0.919;0.946;0.972;0.932;1.0;0.429;0.919;0.908;0.919;0.736;0.77;0.778;0.743;0.73;0.458;0.736;0.694;0.886;0.946;0.429;0.895
transcript30_ENSMUNG00000007775;0.378;0.405;0.417;0.392;0.429;1.0;0.378;0.382;0.378;0.308;0.358;0.354;0.328;0.313;0.413;0.308;0.302;0.38;0.405;0.935;0.368
transcript31_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.764;0.75;0.757;0.724;0.711;0.446;0.716;0.676;0.911;0.921;0.378;0.973
transcript32_ENSMUNG00000007775;0.96;0.961;0.934;0.947;0.908;0.382;0.96;1.0;0.96;0.733;0.744;0.75;0.718;0.705;0.447;0.711;0.671;0.901;0.91;0.382;0.935
transcript33_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.764;0.75;0.757;0.724;0.711;0.446;0.716;0.676;0.911;0.921;0.378;0.973
transcript9_ENSMUNG00000002377;0.764;0.743;0.764;0.73;0.736;0.308;0.764;0.733;0.764;1.0;0.902;0.948;0.9;0.883;0.552;0.897;0.845;0.696;0.72;0.308;0.743
transcript13_ENSMUNG00000002377;0.75;0.776;0.797;0.763;0.77;0.358;0.75;0.744;0.75;0.902;1.0;0.951;0.967;0.951;0.574;0.902;0.852;0.75;0.753;0.358;0.731
transcript23_ENSMUNG00000002377;0.757;0.784;0.806;0.77;0.778;0.354;0.757;0.75;0.757;0.948;0.951;1.0;0.918;0.902;0.603;0.948;0.897;0.734;0.76;0.354;0.737
transcript27_ENSMUNG00000002377;0.724;0.75;0.77;0.737;0.743;0.328;0.724;0.718;0.724;0.9;0.967;0.918;1.0;0.983;0.541;0.869;0.82;0.725;0.727;0.328;0.705
transcript35_ENSMUNG00000002377;0.711;0.737;0.757;0.724;0.73;0.313;0.711;0.705;0.711;0.883;0.951;0.902;0.983;1.0;0.525;0.852;0.803;0.713;0.714;0.313;0.692
transcript36_ENSMUNG00000002377;0.446;0.473;0.486;0.459;0.458;0.413;0.446;0.447;0.446;0.552;0.574;0.603;0.541;0.525;1.0;0.636;0.673;0.443;0.453;0.413;0.434
transcript37_ENSMUNG00000002377;0.716;0.743;0.764;0.73;0.736;0.308;0.716;0.711;0.716;0.897;0.902;0.948;0.869;0.852;0.636;1.0;0.945;0.696;0.72;0.328;0.697
transcript38_ENSMUNG00000002377;0.676;0.703;0.722;0.689;0.694;0.302;0.676;0.671;0.676;0.845;0.852;0.897;0.82;0.803;0.673;0.945;1.0;0.658;0.68;0.302;0.658
transcript10_ENSMUNG00000002391;0.911;0.937;0.911;0.924;0.886;0.38;0.911;0.901;0.911;0.696;0.75;0.734;0.725;0.713;0.443;0.696;0.658;1.0;0.937;0.38;0.937
transcript23_ENSMUNG00000002391;0.921;0.947;0.947;0.934;0.946;0.405;0.921;0.91;0.921;0.72;0.753;0.76;0.727;0.714;0.453;0.72;0.68;0.937;1.0;0.405;0.947
transcript30_ENSMUNG00000002391;0.378;0.405;0.417;0.392;0.429;0.935;0.378;0.382;0.378;0.308;0.358;0.354;0.328;0.313;0.413;0.328;0.302;0.38;0.405;1.0;0.368
transcript33_ENSMUNG00000002391;0.973;0.947;0.921;0.934;0.895;0.368;0.973;0.935;0.973;0.743;0.731;0.737;0.705;0.692;0.434;0.697;0.658;0.937;0.947;0.368;1.0
