;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;;0.942;0.232;0.97;0.427;0.284;0.812;0.221;0.942;0.97;0.832;0.451
ENST00000316856_90_90;0.942;;;;;;;;1.0;0.97;0.832;0.451
ENST00000586375_90_90;0.232;;;;;;;;0.195;0.224;0.262;0.204
ENST00000586534_90_90;0.97;;;;;;;;0.97;1.0;0.861;0.478
ENST00000590881_90_90;0.427;;;;;;;;0.472;0.457;0.378;0.557
ENST00000591499_90_90;0.284;;;;;;;;0.284;0.279;0.32;0.0
ENST00000592268_90_90;0.812;;;;;;;;0.812;0.841;0.861;0.325
ENST00000593114_90_90;0.221;;;;;;;;0.221;0.219;0.248;0.0
ENSMUST00000003911_90_90;0.942;1.0;0.195;0.97;0.472;0.284;0.812;0.221;;;;
ENSMUST00000109761_90_90;0.97;0.97;0.224;1.0;0.457;0.279;0.841;0.219;;;;
ENSMUST00000128035_90_90;0.832;0.832;0.262;0.861;0.378;0.32;0.861;0.248;;;;
ENSMUST00000144675_90_90;0.451;0.451;0.204;0.478;0.557;0.0;0.325;0.0;;;;
