;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.857;0.929;0.786;0.214;0.286;0.071;0.5;0.867;0.933;0.867;0.867;0.8
ENST00000389384_90_90;0.857;1.0;0.875;0.929;0.214;0.286;0.071;0.438;0.923;0.8;0.923;0.733;0.769
ENST00000454077_90_90;0.929;0.875;1.0;0.812;0.188;0.25;0.062;0.389;0.8;0.933;0.8;0.867;0.667
ENST00000587097_90_90;0.786;0.929;0.812;1.0;0.231;0.308;0.077;0.375;0.846;0.733;0.846;0.667;0.692
ENST00000589805_90_90;0.214;0.214;0.188;0.231;1.0;0.75;0.0;0.0;0.231;0.2;0.231;0.133;0.077
ENST00000590169_90_90;0.286;0.286;0.25;0.308;0.75;1.0;0.0;0.0;0.308;0.267;0.308;0.2;0.154
ENST00000590537_90_90;0.071;0.071;0.062;0.077;0.0;0.0;1.0;0.111;0.077;0.067;0.077;0.071;0.091
ENST00000591295_90_90;0.5;0.438;0.389;0.375;0.0;0.0;0.111;1.0;0.538;0.467;0.538;0.5;0.636
ENSMUST00000073234_90_90;0.867;0.923;0.8;0.846;0.231;0.308;0.077;0.538;1.0;0.875;1.0;0.812;0.8
ENSMUST00000107132_90_90;0.933;0.8;0.933;0.733;0.2;0.267;0.067;0.467;0.875;1.0;0.875;0.938;0.706
ENSMUST00000107134_90_90;0.867;0.923;0.8;0.846;0.231;0.308;0.077;0.538;1.0;0.875;1.0;0.812;0.8
ENSMUST00000137387_90_90;0.867;0.733;0.867;0.667;0.133;0.2;0.071;0.5;0.812;0.938;0.812;1.0;0.75
ENSMUST00000141516_90_90;0.8;0.769;0.667;0.692;0.077;0.154;0.091;0.636;0.8;0.706;0.8;0.75;1.0
