;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;1.0;0.933;1.0;0.933;1.0;0.067;1.0;1.0;0.929;0.929
ENST00000307972_90_90;1.0;1.0;0.938;1.0;0.875;0.938;0.059;1.0;0.929;0.929;0.857
ENST00000373057_90_90;0.933;0.938;1.0;0.938;0.812;0.875;0.062;0.929;0.857;1.0;0.786
ENST00000373060_90_90;1.0;1.0;0.938;1.0;0.875;0.938;0.059;1.0;0.929;0.929;0.857
ENST00000373063_90_90;0.933;0.875;0.812;0.875;1.0;0.933;0.067;0.857;0.923;0.786;1.0
ENST00000409208_90_90;1.0;0.938;0.875;0.938;0.933;1.0;0.062;0.929;1.0;0.857;0.923
ENST00000451305_90_90;0.067;0.059;0.062;0.059;0.067;0.062;1.0;0.071;0.077;0.077;0.083
ENSMUST00000097311_90_90;1.0;1.0;0.929;1.0;0.857;0.929;0.071;1.0;0.947;0.947;0.895
ENSMUST00000113262_90_90;1.0;0.929;0.857;0.929;0.923;1.0;0.077;0.947;1.0;0.895;0.944
ENSMUST00000113263_90_90;0.929;0.929;1.0;0.929;0.786;0.857;0.077;0.947;0.895;1.0;0.842
ENSMUST00000113265_90_90;0.929;0.857;0.786;0.857;1.0;0.923;0.083;0.895;0.944;0.842;1.0
