;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.974;0.971;0.996;0.207;0.332;0.779;0.996;0.973;0.243;0.366
ENSCAFT00000044299_90_90;0.974;1.0;0.997;0.97;0.213;0.341;0.8;0.976;0.999;0.25;0.371
ENST00000356634_90_90;0.971;0.997;1.0;0.973;0.214;0.341;0.799;0.974;0.996;0.249;0.371
ENST00000400181_90_90;0.996;0.97;0.973;1.0;0.208;0.332;0.777;0.992;0.969;0.243;0.367
ENST00000465864_90_90;0.207;0.213;0.214;0.208;1.0;0.321;0.265;0.208;0.212;0.242;0.027
ENST00000494920_90_90;0.332;0.341;0.341;0.332;0.321;1.0;0.425;0.333;0.341;0.041;0.0
ENSMUST00000046846_90_90;0.779;0.8;0.799;0.777;0.265;0.425;1.0;0.782;0.8;0.18;0.313
ENSMUST00000105847_90_90;0.996;0.976;0.974;0.992;0.208;0.333;0.782;1.0;0.977;0.244;0.362
ENSMUST00000116273_90_90;0.973;0.999;0.996;0.969;0.212;0.341;0.8;0.977;1.0;0.25;0.371
ENSMUST00000155354_90_90;0.243;0.25;0.249;0.243;0.242;0.041;0.18;0.244;0.25;1.0;0.349
ENSMUST00000170979_90_90;0.366;0.371;0.371;0.367;0.027;0.0;0.313;0.362;0.371;0.349;1.0
