;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.458;0.5;0.083;0.375;0.167;0.615;0.227;0.615;0.25;0.292;0.318;0.565;0.87;0.348;0.364
ENST00000320694_90_90;0.458;1.0;0.8;0.133;0.6;0.0;0.571;0.385;0.571;0.4;0.467;0.538;0.688;0.478;0.571;0.5
ENST00000336483_90_90;0.5;0.8;1.0;0.286;0.562;0.0;0.545;0.357;0.545;0.375;0.438;0.5;0.867;0.458;0.438;0.467
ENST00000517698_90_90;0.083;0.133;0.286;1.0;0.154;0.0;0.091;0.0;0.091;0.2;0.182;0.0;0.2;0.042;0.083;0.091
ENST00000519025_90_90;0.375;0.6;0.562;0.154;1.0;0.0;0.409;0.455;0.409;0.267;0.333;0.5;0.562;0.391;0.429;0.583
ENST00000520675_90_90;0.167;0.0;0.0;0.0;0.0;1.0;0.13;0.0;0.13;0.0;0.0;0.0;0.0;0.125;0.0;0.0
ENST00000521381_90_90;0.615;0.571;0.545;0.091;0.409;0.13;1.0;0.25;1.0;0.4;0.45;0.35;0.478;0.64;0.318;0.333
ENST00000521409_90_90;0.227;0.385;0.357;0.0;0.455;0.0;0.25;1.0;0.25;0.083;0.167;0.714;0.357;0.238;0.273;0.444
ENST00000521657_90_90;0.615;0.571;0.545;0.091;0.409;0.13;1.0;0.25;1.0;0.4;0.45;0.35;0.478;0.64;0.318;0.333
ENST00000522084_90_90;0.25;0.4;0.375;0.2;0.267;0.0;0.4;0.083;0.4;1.0;0.889;0.071;0.294;0.261;0.417;0.333
ENST00000523807_90_90;0.292;0.467;0.438;0.182;0.333;0.0;0.45;0.167;0.45;0.889;1.0;0.143;0.353;0.304;0.5;0.417
ENST00000523872_90_90;0.318;0.538;0.5;0.0;0.5;0.0;0.35;0.714;0.35;0.071;0.143;1.0;0.5;0.333;0.231;0.364
ENSMUST00000035532_90_90;0.565;0.688;0.867;0.2;0.562;0.0;0.478;0.357;0.478;0.294;0.353;0.5;1.0;0.522;0.533;0.571
ENSMUST00000055518_90_90;0.87;0.478;0.458;0.042;0.391;0.125;0.64;0.238;0.64;0.261;0.304;0.333;0.522;1.0;0.364;0.381
ENSMUST00000185795_90_90;0.348;0.571;0.438;0.083;0.429;0.0;0.318;0.273;0.318;0.417;0.5;0.231;0.533;0.364;1.0;0.7
ENSMUST00000187009_90_90;0.364;0.5;0.467;0.091;0.583;0.0;0.333;0.444;0.333;0.333;0.417;0.364;0.571;0.381;0.7;1.0
