;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.192;0.31;0.36;0.28;0.4;0.19;0.276;0.36;0.32;0.28;0.24
ENST00000261210_90_90;0.192;1.0;0.192;0.421;0.471;0.4;0.286;0.154;0.286;0.3;0.316;0.333
ENST00000266732_90_90;0.31;0.192;1.0;0.172;0.185;0.167;0.042;0.85;0.133;0.138;0.143;0.148
ENST00000343315_90_90;0.36;0.421;0.172;1.0;0.867;0.938;0.4;0.138;0.5;0.526;0.474;0.421
ENST00000393053_90_90;0.28;0.471;0.185;0.867;1.0;0.812;0.357;0.148;0.4;0.421;0.444;0.471
ENST00000556029_90_90;0.4;0.4;0.167;0.938;0.812;1.0;0.375;0.133;0.55;0.5;0.45;0.4
ENST00000556678_90_90;0.19;0.286;0.042;0.4;0.357;0.375;1.0;0.043;0.167;0.176;0.188;0.125
ENSMUST00000020123_90_90;0.276;0.154;0.85;0.138;0.148;0.133;0.043;1.0;0.138;0.143;0.148;0.154
ENSMUST00000072239_90_90;0.36;0.286;0.133;0.5;0.4;0.55;0.167;0.138;1.0;0.933;0.867;0.8
ENSMUST00000092219_90_90;0.32;0.3;0.138;0.526;0.421;0.5;0.176;0.143;0.933;1.0;0.929;0.857
ENSMUST00000099355_90_90;0.28;0.316;0.143;0.474;0.444;0.45;0.188;0.148;0.867;0.929;1.0;0.923
ENSMUST00000105293_90_90;0.24;0.333;0.148;0.421;0.471;0.4;0.125;0.154;0.8;0.857;0.923;1.0
