;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.451;0.091;0.424;0.415;0.66;0.78;0.691;0.319;0.658;0.658
ENST00000320280_90_90;0.451;1.0;0.0;0.045;0.179;0.579;0.496;0.496;0.352;0.671;0.671
ENST00000510030_90_90;0.091;0.0;1.0;0.211;0.19;0.118;0.101;0.101;0.281;0.136;0.136
ENST00000511551_90_90;0.424;0.045;0.211;1.0;0.463;0.188;0.298;0.233;0.256;0.162;0.162
ENST00000614488_90_90;0.415;0.179;0.19;0.463;1.0;0.425;0.578;0.377;0.512;0.309;0.309
ENST00000618166_90_90;0.66;0.579;0.118;0.188;0.425;1.0;0.846;0.732;0.436;0.859;0.859
ENST00000621999_90_90;0.78;0.496;0.101;0.298;0.578;0.846;1.0;0.753;0.364;0.73;0.73
ENSMUST00000022197_90_90;0.691;0.496;0.101;0.233;0.377;0.732;0.753;1.0;0.364;0.73;0.73
ENSMUST00000138255_90_90;0.319;0.352;0.281;0.256;0.512;0.436;0.364;0.364;1.0;0.516;0.516
ENSMUST00000152555_90_90;0.658;0.671;0.136;0.162;0.309;0.859;0.73;0.73;0.516;1.0;1.0
ENSMUST00000153558_90_90;0.658;0.671;0.136;0.162;0.309;0.859;0.73;0.73;0.516;1.0;1.0
