;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.013;0.013;0.013;0.0;0.013;0.013;0.0;0.0;0.013;0.013;0.013;0.013;0.013
ENST00000372554_90_90;0.013;1.0;0.978;0.978;0.265;0.926;0.99;0.095;0.059;0.898;0.91;0.848;0.919;0.86
ENST00000372559_90_90;0.013;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.917;0.906;0.867;0.898;0.856
ENST00000372564_90_90;0.013;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.917;0.906;0.867;0.898;0.856
ENST00000416230_90_90;0.0;0.265;0.271;0.271;1.0;0.286;0.268;0.416;0.162;0.293;0.29;0.309;0.287;0.305
ENST00000416629_90_90;0.013;0.926;0.947;0.947;0.286;1.0;0.935;0.103;0.064;0.867;0.856;0.913;0.848;0.902
ENST00000417224_90_90;0.013;0.99;0.988;0.988;0.268;0.935;1.0;0.096;0.06;0.906;0.918;0.856;0.91;0.868
ENST00000425236_90_90;0.0;0.095;0.098;0.098;0.416;0.103;0.096;1.0;0.0;0.113;0.111;0.119;0.11;0.117
ENST00000455407_90_90;0.0;0.059;0.061;0.061;0.162;0.064;0.06;0.0;1.0;0.053;0.052;0.056;0.052;0.055
ENSMUST00000028214_90_90;0.013;0.898;0.917;0.917;0.293;0.867;0.906;0.113;0.053;1.0;0.988;0.947;0.978;0.935
ENSMUST00000100215_90_90;0.013;0.91;0.906;0.906;0.29;0.856;0.918;0.111;0.052;0.988;1.0;0.935;0.99;0.948
ENSMUST00000113620_90_90;0.013;0.848;0.867;0.867;0.309;0.913;0.856;0.119;0.056;0.947;0.935;1.0;0.926;0.987
ENSMUST00000113621_90_90;0.013;0.919;0.898;0.898;0.287;0.848;0.91;0.11;0.052;0.978;0.99;0.926;1.0;0.938
ENSMUST00000163668_90_90;0.013;0.86;0.856;0.856;0.305;0.902;0.868;0.117;0.055;0.935;0.948;0.987;0.938;1.0
