;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;1.0;0.455;0.909;0.182;0.727;0.545;1.0;0.909;0.909;1.0;0.364;0.545;0.909
ENST00000246194_90_90;1.0;1.0;0.5;0.929;0.143;0.786;0.429;1.0;0.929;0.929;1.0;0.286;0.5;0.929
ENST00000333552_90_90;0.455;0.5;1.0;0.429;0.125;0.5;0.444;0.5;0.429;0.429;0.5;0.222;0.556;0.538
ENST00000375114_90_90;0.909;0.929;0.429;1.0;0.154;0.846;0.357;0.929;1.0;1.0;0.929;0.308;0.538;0.857
ENST00000413297_90_90;0.182;0.143;0.125;0.154;1.0;0.182;0.333;0.143;0.154;0.154;0.143;0.5;0.286;0.154
ENST00000442805_90_90;0.727;0.786;0.5;0.846;0.182;1.0;0.417;0.786;0.846;0.846;0.786;0.364;0.636;0.846
ENST00000448364_90_90;0.545;0.429;0.444;0.357;0.333;0.417;1.0;0.429;0.357;0.357;0.429;0.667;0.625;0.462
ENSMUST00000029120_90_90;1.0;1.0;0.5;0.929;0.143;0.786;0.429;1.0;0.933;0.933;1.0;0.267;0.467;0.933
ENSMUST00000058089_90_90;0.909;0.929;0.429;1.0;0.154;0.846;0.357;0.933;1.0;1.0;0.933;0.286;0.5;0.867
ENSMUST00000109701_90_90;0.909;0.929;0.429;1.0;0.154;0.846;0.357;0.933;1.0;1.0;0.933;0.286;0.5;0.867
ENSMUST00000116389_90_90;1.0;1.0;0.5;0.929;0.143;0.786;0.429;1.0;0.933;0.933;1.0;0.267;0.467;0.933
ENSMUST00000125872_90_90;0.364;0.286;0.222;0.308;0.5;0.364;0.667;0.267;0.286;0.286;0.267;1.0;0.571;0.286
ENSMUST00000129137_90_90;0.545;0.5;0.556;0.538;0.286;0.636;0.625;0.467;0.5;0.5;0.467;0.571;1.0;0.5
ENSMUST00000140713_90_90;0.909;0.929;0.538;0.857;0.154;0.846;0.462;0.933;0.867;0.867;0.933;0.286;0.5;1.0
