;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.769;0.833;0.077;0.182;0.182;0.833;0.182;0.417;0.167;0.769
ENST00000308924_90_90;0.769;1.0;0.917;0.154;0.167;0.167;0.643;0.167;0.286;0.154;0.714
ENST00000450554_90_90;0.833;0.917;1.0;0.167;0.182;0.182;0.692;0.182;0.308;0.167;0.643
ENST00000587196_90_90;0.077;0.154;0.167;1.0;0.0;0.0;0.077;0.0;0.125;0.0;0.071
ENST00000590551_90_90;0.182;0.167;0.182;0.0;1.0;0.0;0.182;1.0;0.0;0.0;0.167
ENST00000592874_90_90;0.182;0.167;0.182;0.0;0.0;1.0;0.083;0.0;0.143;0.25;0.077
ENSMUST00000005041_90_90;0.833;0.643;0.692;0.077;0.182;0.083;1.0;0.182;0.308;0.273;0.917
ENSMUST00000165399_90_90;0.182;0.167;0.182;0.0;1.0;0.0;0.182;1.0;0.0;0.0;0.167
ENSMUST00000207097_90_90;0.417;0.286;0.308;0.125;0.0;0.143;0.308;0.0;1.0;0.0;0.286
ENSMUST00000207498_90_90;0.167;0.154;0.167;0.0;0.0;0.25;0.273;0.0;0.0;1.0;0.25
ENSMUST00000209099_90_90;0.769;0.714;0.643;0.071;0.167;0.077;0.917;0.167;0.286;0.25;1.0
