;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.666;0.36;0.666;0.079;0.667
ENST00000221222_90_90;0.0;1.0;0.946;1.0;0.946;0.946;0.846;0.406;0.729;0.23;0.489;0.0;0.0;0.0;0.0;0.0
ENST00000392351_90_90;0.0;0.946;1.0;0.946;1.0;1.0;0.9;0.461;0.687;0.218;0.459;0.0;0.0;0.0;0.0;0.0
ENST00000433218_90_90;0.0;1.0;0.946;1.0;0.946;0.946;0.846;0.406;0.729;0.23;0.489;0.0;0.0;0.0;0.0;0.0
ENST00000539827_90_90;0.0;0.946;1.0;0.946;1.0;1.0;0.9;0.461;0.687;0.218;0.459;0.0;0.0;0.0;0.0;0.0
ENST00000542541_90_90;0.0;0.946;1.0;0.946;1.0;1.0;0.9;0.461;0.687;0.218;0.459;0.0;0.0;0.0;0.0;0.0
ENST00000594439_90_90;0.0;0.846;0.9;0.846;0.9;0.9;1.0;0.512;0.587;0.243;0.359;0.0;0.0;0.0;0.0;0.0
ENST00000594794_90_90;0.0;0.406;0.461;0.406;0.461;0.461;0.512;1.0;0.148;0.093;0.064;0.0;0.0;0.0;0.0;0.0
ENST00000596482_90_90;0.0;0.729;0.687;0.729;0.687;0.687;0.587;0.148;1.0;0.319;0.666;0.0;0.0;0.0;0.0;0.0
ENST00000599097_90_90;0.0;0.23;0.218;0.23;0.218;0.218;0.243;0.093;0.319;1.0;0.484;0.0;0.0;0.0;0.0;0.0
ENST00000600077_90_90;0.0;0.489;0.459;0.489;0.459;0.459;0.359;0.064;0.666;0.484;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000003669_90_90;0.666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.283;1.0;0.185;0.986
ENSMUST00000087467_90_90;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.283;1.0;0.283;0.0;0.286
ENSMUST00000110124_90_90;0.666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.283;1.0;0.185;0.986
ENSMUST00000135368_90_90;0.079;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.185;0.0;0.185;1.0;0.187
ENSMUST00000140212_90_90;0.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.986;0.286;0.986;0.187;1.0
