;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.094;0.094;0.203;0.132;0.273;0.13;0.115;0.0;0.123;0.094
ENST00000166534_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000360568_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379086_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379100_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379104_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000395164_90_90;0.0;0.506;0.507;0.507;0.507;0.506;1.0;0.506;0.517;0.823;0.663;0.831;0.294;0.724;0.922;0.887;0.279;0.279;0.0;0.225;0.0;0.254;0.458;0.154;0.33;0.279
ENST00000401867_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000416053_90_90;0.0;0.245;0.245;0.245;0.245;0.245;0.517;0.245;1.0;0.425;0.777;0.619;0.583;0.373;0.477;0.581;0.098;0.098;0.0;0.271;0.0;0.263;0.204;0.285;0.238;0.098
ENST00000417528_90_90;0.0;0.616;0.617;0.617;0.617;0.616;0.823;0.616;0.425;1.0;0.545;0.682;0.241;0.832;0.891;0.729;0.358;0.358;0.0;0.196;0.0;0.22;0.399;0.129;0.286;0.358
