;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.778;0.75;0.849;0.849;0.841;0.667;0.756;0.809;0.756;0.72;0.738;0.832;0.813;0.832
transcript1_ENSSTOG00000019743;0.778;1.0;0.763;0.669;0.669;0.667;0.842;0.957;0.799;0.957;0.73;0.938;0.833;0.819;0.833
transcript1_ENSCCNG00000000226;0.75;0.763;1.0;0.631;0.631;0.625;0.652;0.74;0.792;0.74;0.956;0.726;0.817;0.801;0.817
transcript10_ENSMLUG00000027828;0.849;0.669;0.631;1.0;1.0;0.991;0.778;0.697;0.734;0.697;0.653;0.677;0.704;0.685;0.704
transcript16_ENSMLUG00000027828;0.849;0.669;0.631;1.0;1.0;0.991;0.778;0.697;0.734;0.697;0.653;0.677;0.704;0.685;0.704
transcript28_ENSMLUG00000027828;0.841;0.667;0.625;0.991;0.991;1.0;0.775;0.694;0.728;0.694;0.647;0.682;0.698;0.69;0.698
transcript9_ENSSTOG00000019743;0.667;0.842;0.652;0.778;0.778;0.775;1.0;0.88;0.73;0.88;0.678;0.859;0.7;0.685;0.7
transcript29_ENSSTOG00000019743;0.756;0.957;0.74;0.697;0.697;0.694;0.88;1.0;0.826;1.0;0.759;0.979;0.797;0.783;0.797
transcript29_ENSCPOG00000024843;0.809;0.799;0.792;0.734;0.734;0.728;0.73;0.826;1.0;0.826;0.811;0.808;0.958;0.94;0.958
transcript30_ENSSTOG00000019743;0.756;0.957;0.74;0.697;0.697;0.694;0.88;1.0;0.826;1.0;0.759;0.979;0.797;0.783;0.797
transcript30_ENSCCNG00000000226;0.72;0.73;0.956;0.653;0.653;0.647;0.678;0.759;0.811;0.759;1.0;0.744;0.782;0.766;0.782
transcript31_ENSSTOG00000019743;0.738;0.938;0.726;0.677;0.677;0.682;0.859;0.979;0.808;0.979;0.744;1.0;0.781;0.796;0.781
transcript35_ENSCPOG00000024843;0.832;0.833;0.817;0.704;0.704;0.698;0.7;0.797;0.958;0.797;0.782;0.781;1.0;0.982;1.0
transcript36_ENSCPOG00000024843;0.813;0.819;0.801;0.685;0.685;0.69;0.685;0.783;0.94;0.783;0.766;0.796;0.982;1.0;0.982
transcript37_ENSCPOG00000024843;0.832;0.833;0.817;0.704;0.704;0.698;0.7;0.797;0.958;0.797;0.782;0.781;1.0;0.982;1.0
