;ENSCAFT00000014390_90_90;ENST00000340417_90_90;ENST00000442461_90_90;ENST00000446851_90_90;ENST00000505397_90_90;ENST00000506560_90_90;ENST00000508171_90_90;ENST00000510557_90_90;ENST00000510877_90_90;ENSMUST00000046154_90_90;ENSMUST00000123572_90_90;ENSMUST00000134439_90_90;ENSMUST00000137750_90_90;ENSMUST00000139234_90_90;ENSMUST00000144030_90_90;ENSMUST00000149714_90_90;ENSMUST00000152387_90_90;ENSMUST00000154921_90_90
ENSCAFT00000014390_90_90;1.0;1.0;0.728;0.728;1.0;0.691;0.475;0.728;0.229;1.0;1.0;0.284;0.728;0.475;0.342;0.728;0.691;0.728
ENST00000340417_90_90;1.0;1.0;0.728;0.728;1.0;0.691;0.475;0.728;0.229;1.0;1.0;0.284;0.728;0.475;0.342;0.728;0.691;0.728
ENST00000442461_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
ENST00000446851_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
ENST00000505397_90_90;1.0;1.0;0.728;0.728;1.0;0.691;0.475;0.728;0.229;1.0;1.0;0.284;0.728;0.475;0.342;0.728;0.691;0.728
ENST00000506560_90_90;0.691;0.691;0.418;0.418;0.691;1.0;0.419;0.418;0.089;0.691;0.691;0.147;0.418;0.419;0.06;0.418;1.0;0.418
ENST00000508171_90_90;0.475;0.475;0.202;0.202;0.475;0.419;1.0;0.202;0.203;0.475;0.475;0.35;0.202;1.0;0.222;0.202;0.419;0.202
ENST00000510557_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
ENST00000510877_90_90;0.229;0.229;0.308;0.308;0.229;0.089;0.203;0.308;1.0;0.229;0.229;0.43;0.308;0.203;0.567;0.308;0.089;0.308
ENSMUST00000046154_90_90;1.0;1.0;0.728;0.728;1.0;0.691;0.475;0.728;0.229;1.0;1.0;0.284;0.728;0.475;0.342;0.728;0.691;0.728
ENSMUST00000123572_90_90;1.0;1.0;0.728;0.728;1.0;0.691;0.475;0.728;0.229;1.0;1.0;0.284;0.728;0.475;0.342;0.728;0.691;0.728
ENSMUST00000134439_90_90;0.284;0.284;0.188;0.188;0.284;0.147;0.35;0.188;0.43;0.284;0.284;1.0;0.188;0.35;0.289;0.188;0.147;0.188
ENSMUST00000137750_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
ENSMUST00000139234_90_90;0.475;0.475;0.202;0.202;0.475;0.419;1.0;0.202;0.203;0.475;0.475;0.35;0.202;1.0;0.222;0.202;0.419;0.202
ENSMUST00000144030_90_90;0.342;0.342;0.448;0.448;0.342;0.06;0.222;0.448;0.567;0.342;0.342;0.289;0.448;0.222;1.0;0.448;0.06;0.448
ENSMUST00000149714_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
ENSMUST00000152387_90_90;0.691;0.691;0.418;0.418;0.691;1.0;0.419;0.418;0.089;0.691;0.691;0.147;0.418;0.419;0.06;0.418;1.0;0.418
ENSMUST00000154921_90_90;0.728;0.728;1.0;1.0;0.728;0.418;0.202;1.0;0.308;0.728;0.728;0.188;1.0;0.202;0.448;1.0;0.418;1.0
