;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.853;0.952;0.522;0.905;0.992;0.583;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;0.853;0.952;0.522;0.905;0.992;0.583;1.0;1.0;1.0
transcript33_ENSHGLG00100003156;0.853;0.853;1.0;0.805;0.376;0.758;0.833;0.423;0.853;0.853;0.853
transcript34_ENSHGLG00100003156;0.952;0.952;0.805;1.0;0.475;0.857;0.932;0.522;0.952;0.952;0.952
transcript35_ENSHGLG00100003156;0.522;0.522;0.376;0.475;1.0;0.427;0.59;1.0;0.522;0.522;0.522
transcript36_ENSHGLG00100003156;0.905;0.905;0.758;0.857;0.427;1.0;0.884;0.475;0.905;0.905;0.905
transcript5_ENSHGLG00100006079;0.992;0.992;0.833;0.932;0.59;0.884;1.0;0.59;0.992;0.992;0.992
transcript30_ENSHGLG00100006079;0.583;0.583;0.423;0.522;1.0;0.475;0.59;1.0;0.583;0.583;0.583
transcript5_ENSPCIG00000036398;1.0;1.0;0.853;0.952;0.522;0.905;0.992;0.583;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;1.0;1.0;0.853;0.952;0.522;0.905;0.992;0.583;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;0.853;0.952;0.522;0.905;0.992;0.583;1.0;1.0;1.0
