;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.95;0.914;0.999;0.137;0.906;0.27;0.999;0.156;0.887;0.867;0.867;0.949;0.965;0.905;0.137;0.221;0.949;0.067
ENST00000333957_90_90;0.95;1.0;0.869;0.951;0.144;0.86;0.262;0.951;0.165;0.859;0.91;0.91;0.999;0.982;0.859;0.143;0.233;0.999;0.07
ENST00000396028_90_90;0.914;0.869;1.0;0.915;0.138;0.99;0.272;0.915;0.104;0.97;0.95;0.95;0.868;0.883;0.989;0.138;0.223;0.868;0.067
ENST00000446597_90_90;0.999;0.951;0.915;1.0;0.137;0.906;0.27;1.0;0.157;0.888;0.868;0.868;0.951;0.967;0.905;0.137;0.221;0.951;0.067
ENST00000535555_90_90;0.137;0.144;0.138;0.137;1.0;0.148;0.0;0.137;0.082;0.16;0.145;0.145;0.144;0.141;0.148;0.998;0.0;0.144;0.0
ENST00000536386_90_90;0.906;0.86;0.99;0.906;0.148;1.0;0.269;0.906;0.103;0.96;0.94;0.94;0.859;0.875;0.999;0.148;0.221;0.859;0.066
ENST00000539615_90_90;0.27;0.262;0.272;0.27;0.0;0.269;1.0;0.27;0.0;0.269;0.264;0.264;0.262;0.279;0.269;0.0;0.0;0.262;0.0
ENST00000542676_90_90;0.999;0.951;0.915;1.0;0.137;0.906;0.27;1.0;0.157;0.888;0.868;0.868;0.951;0.967;0.905;0.137;0.221;0.951;0.067
ENST00000542683_90_90;0.156;0.165;0.104;0.157;0.082;0.103;0.0;0.157;1.0;0.103;0.11;0.11;0.165;0.162;0.103;0.081;0.098;0.165;0.0
ENST00000545552_90_90;0.887;0.859;0.97;0.888;0.16;0.96;0.269;0.888;0.103;1.0;0.939;0.939;0.858;0.874;0.959;0.16;0.221;0.858;0.066
ENSMUST00000087485_90_90;0.867;0.91;0.95;0.868;0.145;0.94;0.264;0.868;0.11;0.939;1.0;1.0;0.911;0.897;0.941;0.145;0.235;0.911;0.071
ENSMUST00000111758_90_90;0.867;0.91;0.95;0.868;0.145;0.94;0.264;0.868;0.11;0.939;1.0;1.0;0.911;0.897;0.941;0.145;0.235;0.911;0.071
ENSMUST00000171349_90_90;0.949;0.999;0.868;0.951;0.144;0.859;0.262;0.951;0.165;0.858;0.911;0.911;1.0;0.983;0.86;0.143;0.233;1.0;0.07
ENSMUST00000203187_90_90;0.965;0.982;0.883;0.967;0.141;0.875;0.279;0.967;0.162;0.874;0.897;0.897;0.983;1.0;0.875;0.141;0.229;0.983;0.069
ENSMUST00000203673_90_90;0.905;0.859;0.989;0.905;0.148;0.999;0.269;0.905;0.103;0.959;0.941;0.941;0.86;0.875;1.0;0.148;0.221;0.86;0.067
ENSMUST00000204043_90_90;0.137;0.143;0.138;0.137;0.998;0.148;0.0;0.137;0.081;0.16;0.145;0.145;0.143;0.141;0.148;1.0;0.0;0.143;0.0
ENSMUST00000204140_90_90;0.221;0.233;0.223;0.221;0.0;0.221;0.0;0.221;0.098;0.221;0.235;0.235;0.233;0.229;0.221;0.0;1.0;0.233;0.301
ENSMUST00000204655_90_90;0.949;0.999;0.868;0.951;0.144;0.859;0.262;0.951;0.165;0.858;0.911;0.911;1.0;0.983;0.86;0.143;0.233;1.0;0.07
ENSMUST00000205119_90_90;0.067;0.07;0.067;0.067;0.0;0.066;0.0;0.067;0.0;0.066;0.071;0.071;0.07;0.069;0.067;0.0;0.301;0.07;1.0
