;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.934;0.97;0.934;1.0;0.935;0.472;0.968;0.838;0.163;0.21;1.0;0.349;0.93;0.248;1.0
ENST00000265997_90_90;0.934;1.0;0.877;1.0;0.934;0.885;0.508;0.859;0.734;0.133;0.181;0.934;0.326;1.0;0.222;0.934
ENST00000412050_90_90;0.97;0.877;1.0;0.877;0.924;0.965;0.453;1.0;0.867;0.134;0.183;0.924;0.329;0.859;0.224;0.924
ENST00000614585_90_90;0.934;1.0;0.877;1.0;0.934;0.885;0.508;0.859;0.734;0.133;0.181;0.934;0.326;1.0;0.222;0.934
ENSMUST00000079754_90_90;1.0;0.934;0.924;0.934;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
ENSMUST00000123727_90_90;0.935;0.885;0.965;0.885;0.887;1.0;0.477;0.944;0.8;0.181;0.225;0.887;0.353;0.877;0.26;0.887
ENSMUST00000124158_90_90;0.472;0.508;0.453;0.508;0.517;0.477;1.0;0.456;0.33;0.0;0.0;0.517;0.0;0.486;0.0;0.517
ENSMUST00000126188_90_90;0.968;0.859;1.0;0.859;0.939;0.944;0.456;1.0;0.853;0.169;0.21;0.939;0.33;0.835;0.242;0.939
ENSMUST00000126781_90_90;0.838;0.734;0.867;0.734;0.8;0.8;0.33;0.853;1.0;0.185;0.229;0.8;0.36;0.702;0.264;0.8
ENSMUST00000128642_90_90;0.163;0.133;0.134;0.133;0.158;0.181;0.0;0.169;0.185;1.0;0.807;0.158;0.516;0.179;0.709;0.158
ENSMUST00000131917_90_90;0.21;0.181;0.183;0.181;0.196;0.225;0.0;0.21;0.229;0.807;1.0;0.196;0.639;0.223;0.877;0.196
ENSMUST00000132580_90_90;1.0;0.934;0.924;0.934;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
ENSMUST00000133988_90_90;0.349;0.326;0.329;0.326;0.307;0.353;0.0;0.33;0.36;0.516;0.639;0.307;1.0;0.351;0.73;0.307
ENSMUST00000136286_90_90;0.93;1.0;0.859;1.0;0.897;0.877;0.486;0.835;0.702;0.179;0.223;0.897;0.351;1.0;0.258;0.897
ENSMUST00000142973_90_90;0.248;0.222;0.224;0.222;0.226;0.26;0.0;0.242;0.264;0.709;0.877;0.226;0.73;0.258;1.0;0.226
ENSMUST00000154376_90_90;1.0;0.934;0.924;0.934;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
