;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.547;0.55;0.481;0.462;0.472;0.533;0.514;0.523;0.962;0.962
transcript7_MGP-PahariEiJ-G0020237;0.547;1.0;0.925;0.887;0.855;0.871;0.851;0.866;0.881;0.527;0.527
transcript37_MGP-PahariEiJ-G0020237;0.55;0.925;1.0;0.821;0.791;0.806;0.925;0.94;0.955;0.573;0.573
transcript39_MGP-PahariEiJ-G0020237;0.481;0.887;0.821;1.0;0.964;0.982;0.746;0.761;0.776;0.464;0.464
transcript9_MGP-PahariEiJ-G0020237;0.462;0.855;0.791;0.964;1.0;0.981;0.716;0.731;0.746;0.445;0.445
transcript49_MGP-PahariEiJ-G0020237;0.472;0.871;0.806;0.982;0.981;1.0;0.731;0.746;0.761;0.455;0.455
transcript50_MGP-PahariEiJ-G0020237;0.533;0.851;0.925;0.746;0.716;0.731;1.0;0.866;0.881;0.556;0.556
transcript52_MGP-PahariEiJ-G0020237;0.514;0.866;0.94;0.761;0.731;0.746;0.866;1.0;0.984;0.536;0.536
transcript51_MGP-PahariEiJ-G0020237;0.523;0.881;0.955;0.776;0.746;0.761;0.881;0.984;1.0;0.545;0.545
transcript37_ENSRNOG00000031503;0.962;0.527;0.573;0.464;0.445;0.455;0.556;0.536;0.545;1.0;1.0
transcript44_ENSRNOG00000031503;0.962;0.527;0.573;0.464;0.445;0.455;0.556;0.536;0.545;1.0;1.0
