;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.815;0.458;0.34;0.42;0.417;0.471;0.327;0.0;0.06;0.064;0.0;0.0;0.0;0.064;0.084;0.068
ENSCAFT00000048830_90_90;0.815;1.0;0.51;0.384;0.474;0.471;0.541;0.393;0.0;0.064;0.069;0.0;0.0;0.0;0.069;0.092;0.073
ENST00000368686_90_90;0.458;0.51;1.0;0.411;0.374;0.37;0.452;0.229;0.0;0.081;0.088;0.0;0.0;0.0;0.088;0.131;0.099
ENST00000368687_90_90;0.34;0.384;0.411;1.0;0.896;0.899;0.714;0.206;0.227;0.289;0.297;0.232;0.232;0.227;0.297;0.072;0.069
ENST00000368690_90_90;0.42;0.474;0.374;0.896;1.0;0.996;0.811;0.305;0.213;0.275;0.283;0.217;0.217;0.213;0.283;0.071;0.069
ENST00000368694_90_90;0.417;0.471;0.37;0.899;0.996;1.0;0.815;0.306;0.214;0.272;0.279;0.218;0.218;0.214;0.279;0.068;0.066
ENST00000403433_90_90;0.471;0.541;0.452;0.714;0.811;0.815;1.0;0.376;0.242;0.308;0.318;0.248;0.248;0.242;0.318;0.077;0.074
ENST00000614256_90_90;0.327;0.393;0.229;0.206;0.305;0.306;0.376;1.0;0.012;0.069;0.063;0.001;0.001;0.012;0.063;0.09;0.082
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.227;0.213;0.214;0.242;0.012;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000049937_90_90;0.06;0.064;0.081;0.289;0.275;0.272;0.308;0.069;0.9;1.0;0.811;0.711;0.715;0.9;0.815;0.497;0.604
ENSMUST00000076639_90_90;0.064;0.069;0.088;0.297;0.283;0.279;0.318;0.063;0.711;0.811;1.0;0.876;0.872;0.711;0.995;0.604;0.511
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.232;0.217;0.218;0.248;0.001;0.79;0.711;0.876;1.0;0.994;0.79;0.872;0.481;0.416
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.232;0.217;0.218;0.248;0.001;0.795;0.715;0.872;0.994;1.0;0.795;0.877;0.486;0.42
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.227;0.213;0.214;0.242;0.012;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000107346_90_90;0.064;0.069;0.088;0.297;0.283;0.279;0.318;0.063;0.715;0.815;0.995;0.872;0.877;0.715;1.0;0.609;0.515
ENSMUST00000131868_90_90;0.084;0.092;0.131;0.072;0.071;0.068;0.077;0.09;0.396;0.497;0.604;0.481;0.486;0.396;0.609;1.0;0.633
ENSMUST00000146740_90_90;0.068;0.073;0.099;0.069;0.069;0.066;0.074;0.082;0.514;0.604;0.511;0.416;0.42;0.514;0.515;0.633;1.0
