;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.853;0.791;0.792;0.531;0.465;0.84;0.809;0.835;0.708;0.723;0.663;0.421;0.737;0.658
ENST00000248933_90_90;0.853;1.0;0.934;0.935;0.531;0.466;0.985;0.951;0.98;0.65;0.664;0.607;0.42;0.678;0.602
ENST00000343706_90_90;0.791;0.934;1.0;0.907;0.466;0.5;0.919;0.923;0.954;0.588;0.602;0.619;0.354;0.616;0.644
ENST00000360929_90_90;0.792;0.935;0.907;1.0;0.466;0.427;0.92;0.923;0.954;0.589;0.603;0.545;0.425;0.616;0.567
ENST00000402979_90_90;0.531;0.531;0.466;0.466;1.0;0.853;0.536;0.5;0.512;0.569;0.593;0.513;0.699;0.584;0.508
ENST00000403121_90_90;0.465;0.466;0.5;0.427;0.853;1.0;0.469;0.461;0.473;0.484;0.508;0.516;0.55;0.501;0.553
ENST00000404234_90_90;0.84;0.985;0.919;0.92;0.536;0.469;1.0;0.964;0.966;0.656;0.67;0.612;0.422;0.664;0.608
ENST00000529632_90_90;0.809;0.951;0.923;0.923;0.5;0.461;0.964;1.0;0.97;0.644;0.637;0.6;0.387;0.633;0.603
ENST00000629590_90_90;0.835;0.98;0.954;0.954;0.512;0.473;0.966;0.97;1.0;0.633;0.646;0.588;0.4;0.659;0.611
ENSMUST00000075387_90_90;0.708;0.65;0.588;0.589;0.569;0.484;0.656;0.644;0.633;1.0;0.974;0.94;0.47;0.952;0.885
ENSMUST00000079491_90_90;0.723;0.664;0.602;0.603;0.593;0.508;0.67;0.637;0.646;0.974;1.0;0.915;0.495;0.976;0.911
ENSMUST00000197425_90_90;0.663;0.607;0.619;0.545;0.513;0.516;0.612;0.6;0.588;0.94;0.915;1.0;0.412;0.893;0.941
ENSMUST00000200575_90_90;0.421;0.42;0.354;0.425;0.699;0.55;0.422;0.387;0.4;0.47;0.495;0.412;1.0;0.489;0.406
ENSMUST00000212480_90_90;0.737;0.678;0.616;0.616;0.584;0.501;0.664;0.633;0.659;0.952;0.976;0.893;0.489;1.0;0.889
ENSMUST00000212758_90_90;0.658;0.602;0.644;0.567;0.508;0.553;0.608;0.603;0.611;0.885;0.911;0.941;0.406;0.889;1.0
