;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.918;0.924;0.186;0.157;0.126;0.713;0.729;0.863;0.315;0.187
ENST00000318445_90_90;0.918;1.0;0.903;0.181;0.153;0.123;0.699;0.714;0.842;0.307;0.182
ENST00000424469_90_90;0.924;0.903;1.0;0.185;0.157;0.126;0.714;0.79;0.864;0.315;0.186
ENST00000553304_90_90;0.186;0.181;0.185;1.0;0.0;0.0;0.181;0.185;0.213;0.583;0.789
ENST00000555210_90_90;0.157;0.153;0.157;0.0;1.0;0.803;0.153;0.157;0.18;0.0;0.0
ENST00000555892_90_90;0.126;0.123;0.126;0.0;0.803;1.0;0.123;0.126;0.145;0.0;0.0
ENSMUST00000026897_90_90;0.713;0.699;0.714;0.181;0.153;0.123;1.0;0.903;0.803;0.308;0.182
ENSMUST00000098371_90_90;0.729;0.714;0.79;0.185;0.157;0.126;0.903;1.0;0.823;0.316;0.186
ENSMUST00000107453_90_90;0.863;0.842;0.864;0.213;0.18;0.145;0.803;0.823;1.0;0.363;0.213
ENSMUST00000134539_90_90;0.315;0.307;0.315;0.583;0.0;0.0;0.308;0.316;0.363;1.0;0.539
ENSMUST00000138099_90_90;0.187;0.182;0.186;0.789;0.0;0.0;0.182;0.186;0.213;0.539;1.0
