;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.731;0.846;0.846;0.222;0.815;0.125;0.846;0.28;0.815;0.692;0.692;0.692;0.731;0.778;0.185;0.208;0.692;0.083
ENST00000333957_90_90;0.731;1.0;0.731;0.875;0.25;0.704;0.091;0.875;0.381;0.704;0.783;0.783;0.952;0.909;0.667;0.208;0.238;0.952;0.095
ENST00000396028_90_90;0.846;0.731;1.0;0.846;0.222;0.96;0.125;0.846;0.231;0.885;0.833;0.833;0.692;0.731;0.92;0.185;0.208;0.692;0.083
ENST00000446597_90_90;0.846;0.875;0.846;1.0;0.222;0.815;0.125;1.0;0.333;0.75;0.692;0.692;0.833;0.875;0.778;0.185;0.208;0.833;0.083
ENST00000535555_90_90;0.222;0.25;0.222;0.222;1.0;0.259;0.0;0.222;0.214;0.308;0.261;0.261;0.261;0.25;0.269;0.889;0.0;0.261;0.0
ENST00000536386_90_90;0.815;0.704;0.96;0.815;0.259;1.0;0.12;0.815;0.222;0.852;0.8;0.8;0.667;0.704;0.96;0.222;0.2;0.667;0.08
ENST00000539615_90_90;0.125;0.091;0.125;0.125;0.0;0.12;1.0;0.125;0.0;0.12;0.095;0.095;0.095;0.143;0.125;0.0;0.0;0.095;0.0
ENST00000542676_90_90;0.846;0.875;0.846;1.0;0.222;0.815;0.125;1.0;0.333;0.75;0.692;0.692;0.833;0.875;0.778;0.185;0.208;0.833;0.083
ENST00000542683_90_90;0.28;0.381;0.231;0.333;0.214;0.222;0.0;0.333;1.0;0.222;0.273;0.273;0.4;0.381;0.231;0.143;0.083;0.4;0.0
ENST00000545552_90_90;0.815;0.704;0.885;0.75;0.308;0.852;0.12;0.75;0.222;1.0;0.8;0.8;0.667;0.704;0.815;0.269;0.2;0.667;0.08
ENSMUST00000087485_90_90;0.692;0.783;0.833;0.692;0.261;0.8;0.095;0.692;0.273;0.8;1.0;1.0;0.818;0.783;0.833;0.217;0.25;0.818;0.1
ENSMUST00000111758_90_90;0.692;0.783;0.833;0.692;0.261;0.8;0.095;0.692;0.273;0.8;1.0;1.0;0.818;0.783;0.833;0.217;0.25;0.818;0.1
ENSMUST00000171349_90_90;0.692;0.952;0.692;0.833;0.261;0.667;0.095;0.833;0.4;0.667;0.818;0.818;1.0;0.952;0.692;0.217;0.25;1.0;0.1
ENSMUST00000203187_90_90;0.731;0.909;0.731;0.875;0.25;0.704;0.143;0.875;0.381;0.704;0.783;0.783;0.952;1.0;0.731;0.208;0.238;0.952;0.095
ENSMUST00000203673_90_90;0.778;0.667;0.92;0.778;0.269;0.96;0.125;0.778;0.231;0.815;0.833;0.833;0.692;0.731;1.0;0.231;0.208;0.692;0.083
ENSMUST00000204043_90_90;0.185;0.208;0.185;0.185;0.889;0.222;0.0;0.185;0.143;0.269;0.217;0.217;0.217;0.208;0.231;1.0;0.0;0.217;0.0
ENSMUST00000204140_90_90;0.208;0.238;0.208;0.208;0.0;0.2;0.0;0.208;0.083;0.2;0.25;0.25;0.25;0.238;0.208;0.0;1.0;0.25;0.4
ENSMUST00000204655_90_90;0.692;0.952;0.692;0.833;0.261;0.667;0.095;0.833;0.4;0.667;0.818;0.818;1.0;0.952;0.692;0.217;0.25;1.0;0.1
ENSMUST00000205119_90_90;0.083;0.095;0.083;0.083;0.0;0.08;0.0;0.083;0.0;0.08;0.1;0.1;0.1;0.095;0.083;0.0;0.4;0.1;1.0
