;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.967;0.952;0.85;0.817;0.833;0.905;0.889;0.905;0.962;0.962
transcript7_MGP-PahariEiJ-G0020237;0.967;1.0;0.925;0.887;0.855;0.871;0.851;0.866;0.881;0.921;0.921
transcript37_MGP-PahariEiJ-G0020237;0.952;0.925;1.0;0.821;0.791;0.806;0.925;0.94;0.955;1.0;1.0
transcript39_MGP-PahariEiJ-G0020237;0.85;0.887;0.821;1.0;0.964;0.982;0.746;0.761;0.776;0.81;0.81
transcript9_MGP-PahariEiJ-G0020237;0.817;0.855;0.791;0.964;1.0;0.981;0.716;0.731;0.746;0.778;0.778
transcript49_MGP-PahariEiJ-G0020237;0.833;0.871;0.806;0.982;0.981;1.0;0.731;0.746;0.761;0.794;0.794
transcript50_MGP-PahariEiJ-G0020237;0.905;0.851;0.925;0.746;0.716;0.731;1.0;0.866;0.881;0.952;0.952
transcript52_MGP-PahariEiJ-G0020237;0.889;0.866;0.94;0.761;0.731;0.746;0.866;1.0;0.984;0.937;0.937
transcript51_MGP-PahariEiJ-G0020237;0.905;0.881;0.955;0.776;0.746;0.761;0.881;0.984;1.0;0.952;0.952
transcript37_ENSRNOG00000031503;0.962;0.921;1.0;0.81;0.778;0.794;0.952;0.937;0.952;1.0;1.0
transcript44_ENSRNOG00000031503;0.962;0.921;1.0;0.81;0.778;0.794;0.952;0.937;0.952;1.0;1.0
