;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.947;0.429;0.429;0.429;0.439;0.818;0.818;0.429;0.45;0.429
transcript7_ENSCGRG00000018457;0.947;1.0;0.452;0.452;0.452;0.463;0.864;0.864;0.452;0.475;0.452
transcript33_ENSCGRG00015005362;0.429;0.452;1.0;1.0;1.0;0.976;0.524;0.524;1.0;0.952;1.0
transcript33_ENSCGRG00000018457;0.429;0.452;1.0;1.0;1.0;0.976;0.524;0.524;1.0;0.952;1.0
transcript33_ENSCGRG00001010245;0.429;0.452;1.0;1.0;1.0;0.976;0.524;0.524;1.0;0.952;1.0
transcript41_ENSCGRG00015005362;0.439;0.463;0.976;0.976;0.976;1.0;0.537;0.537;0.976;0.976;0.976
transcript42_ENSCGRG00015005362;0.818;0.864;0.524;0.524;0.524;0.537;1.0;1.0;0.524;0.55;0.524
transcript43_ENSCGRG00015005362;0.818;0.864;0.524;0.524;0.524;0.537;1.0;1.0;0.524;0.55;0.524
transcript46_ENSCGRG00000018457;0.429;0.452;1.0;1.0;1.0;0.976;0.524;0.524;1.0;0.952;1.0
transcript47_ENSCGRG00000018457;0.45;0.475;0.952;0.952;0.952;0.976;0.55;0.55;0.952;1.0;0.952
transcript40_ENSCGRG00001010245;0.429;0.452;1.0;1.0;1.0;0.976;0.524;0.524;1.0;0.952;1.0
