;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.489;0.36;0.41;0.522;0.472;0.522;0.363;0.278;0.53;0.4;0.4;0.055;0.135;0.022;0.352;0.378;0.569;0.49;0.579;0.823;0.069;0.257
ENSCAFT00000027452_90_90;0.489;1.0;0.632;0.569;0.565;0.421;0.674;0.483;0.387;0.66;0.43;0.52;0.059;0.146;0.105;0.466;0.788;0.828;0.852;0.472;0.522;0.073;0.283
ENST00000271850_90_90;0.36;0.632;1.0;0.354;0.379;0.49;0.456;0.556;0.465;0.698;0.5;0.59;0.048;0.158;0.263;0.538;0.792;0.528;0.538;0.538;0.355;0.059;0.188
ENST00000302206_90_90;0.41;0.569;0.354;1.0;0.49;0.327;0.619;0.486;0.354;0.377;0.336;0.437;0.051;0.0;0.0;0.371;0.409;0.439;0.451;0.388;0.447;0.14;0.505
ENST00000323144_90_90;0.522;0.565;0.379;0.49;1.0;0.628;0.842;0.549;0.485;0.481;0.768;0.644;0.233;0.331;0.0;0.582;0.43;0.552;0.674;0.417;0.567;0.085;0.311
ENST00000328159_90_90;0.472;0.421;0.49;0.327;0.628;1.0;0.627;0.718;0.652;0.467;0.821;0.82;0.216;0.368;0.0;0.754;0.56;0.531;0.421;0.545;0.538;0.077;0.23
ENST00000330188_90_90;0.522;0.674;0.456;0.619;0.842;0.627;1.0;0.667;0.6;0.481;0.644;0.768;0.233;0.331;0.0;0.703;0.52;0.55;0.565;0.502;0.566;0.085;0.311
ENST00000341372_90_90;0.363;0.483;0.556;0.486;0.549;0.718;0.667;1.0;0.699;0.337;0.741;0.887;0.196;0.266;0.0;0.814;0.647;0.383;0.392;0.627;0.391;0.091;0.266
ENST00000341485_90_90;0.278;0.387;0.465;0.354;0.485;0.652;0.6;0.699;1.0;0.264;0.669;0.811;0.17;0.4;0.0;0.738;0.536;0.297;0.302;0.51;0.292;0.0;0.135
ENST00000368530_90_90;0.53;0.66;0.698;0.377;0.481;0.467;0.481;0.337;0.264;1.0;0.372;0.372;0.048;0.124;0.263;0.327;0.528;0.792;0.661;0.344;0.56;0.059;0.234
ENST00000368531_90_90;0.4;0.43;0.5;0.336;0.768;0.821;0.644;0.741;0.669;0.372;1.0;0.846;0.224;0.38;0.0;0.778;0.575;0.421;0.52;0.559;0.428;0.081;0.237
ENST00000368533_90_90;0.4;0.52;0.59;0.437;0.644;0.82;0.768;0.887;0.811;0.372;0.846;1.0;0.224;0.379;0.0;0.926;0.683;0.421;0.43;0.66;0.427;0.081;0.237
ENST00000509409_90_90;0.055;0.059;0.048;0.051;0.233;0.216;0.233;0.196;0.17;0.048;0.224;0.224;1.0;0.345;0.0;0.241;0.056;0.056;0.059;0.058;0.063;0.134;0.078
ENST00000509601_90_90;0.135;0.146;0.158;0.0;0.331;0.368;0.331;0.266;0.4;0.124;0.38;0.379;0.345;1.0;0.0;0.409;0.182;0.143;0.146;0.177;0.146;0.0;0.0
ENST00000515609_90_90;0.022;0.105;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.263;0.0;0.0;0.0;0.0;1.0;0.0;0.103;0.103;0.105;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.352;0.466;0.538;0.371;0.582;0.754;0.703;0.814;0.738;0.327;0.778;0.926;0.241;0.409;0.0;1.0;0.623;0.37;0.379;0.603;0.377;0.087;0.255
ENSMUST00000029549_90_90;0.378;0.788;0.792;0.409;0.43;0.56;0.52;0.647;0.536;0.528;0.575;0.683;0.056;0.182;0.103;0.623;1.0;0.653;0.669;0.615;0.4;0.07;0.22
ENSMUST00000118566_90_90;0.569;0.828;0.528;0.439;0.552;0.531;0.55;0.383;0.297;0.792;0.421;0.421;0.056;0.143;0.103;0.37;0.653;1.0;0.83;0.385;0.645;0.07;0.276
ENSMUST00000119158_90_90;0.49;0.852;0.538;0.451;0.674;0.421;0.565;0.392;0.302;0.661;0.52;0.43;0.059;0.146;0.105;0.379;0.669;0.83;1.0;0.393;0.523;0.073;0.284
ENSMUST00000119570_90_90;0.579;0.472;0.538;0.388;0.417;0.545;0.502;0.627;0.51;0.344;0.559;0.66;0.058;0.177;0.0;0.603;0.615;0.385;0.393;1.0;0.617;0.072;0.21
ENSMUST00000121503_90_90;0.823;0.522;0.355;0.447;0.567;0.538;0.566;0.391;0.292;0.56;0.428;0.427;0.063;0.146;0.0;0.377;0.4;0.645;0.523;0.617;1.0;0.079;0.282
ENSMUST00000127955_90_90;0.069;0.073;0.059;0.14;0.085;0.077;0.085;0.091;0.0;0.059;0.081;0.081;0.134;0.0;0.0;0.087;0.07;0.07;0.073;0.072;0.079;1.0;0.263
ENSMUST00000149432_90_90;0.257;0.283;0.188;0.505;0.311;0.23;0.311;0.266;0.135;0.234;0.237;0.237;0.078;0.0;0.0;0.255;0.22;0.276;0.284;0.21;0.282;0.263;1.0
