;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;;;0.762;0.832;0.728;0.043;0.865;0.76;0.76;0.111;0.23;0.323;0.043
ENSCAFT00000013564_90_90;;;0.61;0.582;0.589;0.141;0.567;0.574;0.574;0.141;0.282;0.407;0.141
ENST00000233330_90_90;0.762;0.61;;;;;0.762;0.773;0.773;0.143;0.218;0.415;0.06
ENST00000272430_90_90;0.832;0.582;;;;;0.961;0.781;0.781;0.114;0.284;0.332;0.044
ENST00000305557_90_90;0.728;0.589;;;;;0.781;0.891;0.891;0.116;0.287;0.337;0.044
ENST00000640304_90_90;0.043;0.141;;;;;0.043;0.043;0.043;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;0.865;0.567;0.762;0.961;0.781;0.043;;;;;;;
ENSMUST00000087938_90_90;0.76;0.574;0.773;0.781;0.891;0.043;;;;;;;
ENSMUST00000121093_90_90;0.76;0.574;0.773;0.781;0.891;0.043;;;;;;;
ENSMUST00000129316_90_90;0.111;0.141;0.143;0.114;0.116;0.0;;;;;;;
ENSMUST00000130622_90_90;0.23;0.282;0.218;0.284;0.287;0.0;;;;;;;
ENSMUST00000135490_90_90;0.323;0.407;0.415;0.332;0.337;0.0;;;;;;;
ENSMUST00000213056_90_90;0.043;0.141;0.06;0.044;0.044;1.0;;;;;;;
